word_1,word_2,distance
v goot zijkant,vier verschillend uitsteeksels,0.452277
toeter op arm,langwerpig links punt,0.411238
geruite handvatten,vierkant vlak onder,0.443739
bal op emmer,ei bovenop staaf,0.264231
emmer in vierkant,vierkant halverwege,0.228603
twee ronde handvatten,twee kegels blokje,0.282989
robot,robot,0.0
spitse punt,spitse driehoek bovenop,0.116727
trofee,trofee wokkel,0.154969
platte driehoek,platte driehoek bovenop,0.0621611
kip,kip,5.96046e-08
staaf door ei,staaf door bal,0.113646
tafel en bakje,tafel bakje,0.0285534
zeepaardje,zeepaardje,0.0
zeshoekige staaf zijkant,rondje achterkant,0.260393
staaf twee ballen,staaf ballen zijkant,0.0780127
v goot zijkant,driehoek balkje links,0.361474
toeter,toeter,0.0
zes ruiten zijkanten,zes bolletjes zijkant,0.131988
staaf verticaal bal,bal bovenop,0.20726
vierkant midden emmer,vierkant halverwege doorheen,0.203917
telescoop,telescoop,1.19209e-07
laserogen antenne,plaat spijker bovenop,0.426547
voetjes snavel mohawk,driehoek bovenop,0.522429
tornado onderaan,wokkel driekhoek onderaan,0.258913
trapezium bovenop,twee balkjes rechts,0.28616
schoonmaakrobot,lange balk bovenop,0.734285
heeft een snor,kopje steel bol,0.453876
rand rondom,plaat twee poten,0.454696
doorboorde ruit bovenop,driehoek achter boven,0.2988
kopje met citroen schijf,breed voetstuk onder,0.520627
armen en matje,plaat achter kopje,0.375762
pennenbak met neus,kopje lepel staaf,0.306161
vastgeplakt aan kauwgom,langste spijker links,0.394053
pippi langkous,kralen links rechts,0.699502
korfbal korf met armen,rond bolletje bovenop,0.39394
in een plaat,vierkant door figuur,0.415552
links en boven dezelfde,vier verschillende uitsteeksels,0.387045
links groterwordende vierkanten,antenne plaat,0.471812
driehoek achterop telescoop,driehoek telescoop,0.0701309
wokkel met driehoek,wokkel driehoek,0.0549593
trapezium bovenop,trapezium,0.12675
schoonmaakrobot,schoonmaakrobot,0.0
appel steeltje doorboorde neus,appel steeltje,0.10194
tafel met bakje,tafel met schaaltje,0.0344549
vierkanten door ruiten,dubbele driehoek,0.303608
cirkel achterop appel steeltje,rondje achterkant,0.260551
waterval twee armen,waterval,0.260042
roerstaaf voor verf,verf spatel,0.13678
oude spijker plateau,oude spijker,0.143192
pippi langkous,pippi staartjes,0.104707
korf met bal,korfbal,0.611012
platform doorboort glijbaan,glijbaan,0.188718
lepel boven links,twee dezelfde lepels,0.350744
telescoop ogen,rechts vierkante plaat,0.453762
driehoek boven,driehoek bovenop,0.0953231
gedraaide onderkant,groot aanhangsel onderaan,0.402638
vogeltje,twee balkjes rechts,0.563055
balk boven op,rechthoekig balkje bovenop,0.268251
neus met staaf,ronde neus doorboord,0.189074
tafeltje met bakje,tweepotige tafel,0.169985
kat,ruit bovenop,0.535591
beker met roerlepel,lepeltje rechts,0.30609
horizontale doorlopende staaf,linksboven soort schans,0.484393
midden bovenste rij,verticale balk bovenop,0.262674
spijker en plateau,rond plateau rechts,0.168247
rij met ruitjes,op een plaat,0.336377
balletje boven op,verticale balk zijkant,0.391171
twee balkjes boven,plaat door kopje,0.410079
joystick boven op,rechtop midden lepel,0.384532
twee telescopen,twee telescopen,5.96046e-08
scherpe driehoek,driehoek en potloodpunt,0.177
gedraaide onderkant,groot aanhangsel blokjes,0.408045
vogeltje,vogel,0.242141
omgekeerd bekertje,balk omgekeerde bekers,0.308003
neus doorboord,doorboorde neus kuif,0.104495
tafeltje met kom,tweepotige tafel,0.240923
kat,kat ruit bovenkant,0.244929
beker met lepeltje,standaard en lepeltje,0.223454
schans en spijker,schroef erdoor schans,0.180335
neus met pennetje,neus rechthoek pen,0.208637
schijfje met spijker,rond plateau rechts,0.497
macaroni,blad macaroni sprieten,0.200338
bolletje ongelijke armen,bal rechthoek armen,0.183562
vlak met slurf,blad door beker,0.440614
telescoop met pennen,joysticks telescoop wormpje,0.233289
uitschuifbare blokjes,dubbele spijker zijkant,0.295
hoge piramide,hoed aan bovenkant,0.442445
omhoog gaande draaimolen,driehoek met spiraal,0.412921
vogel met twee snavels,dubbele plaatjes,0.348087
stofzuigende robot,balk bovenop,0.573442
langwerpige neuspiercing,staaf door ei,0.400263
ophang plankje,plateau met bak,0.348361
bloempot op een stokje,vierkant met uitsteeksel,0.329568
pinokkio,houder onderkant,0.794175
centraal riolering punt,buis doorheen,0.385307
dikke indiaan,bal aan zijkant,0.476571
bijtelen,spijker in aanhangsel,0.462554
pan vaas afwassen,plateau onderkant,0.469842
bal in korfbal mandje,bal bovenop,0.249707
waterglijbaan,plateau midden,0.634071
twee dezelfde pluimen,ovaal midden rechtop,0.356452
paddestoel kaas plakje kijkes,paddestoel bovenop,0.23079
piramide koekje schroef,spijker aan zijkant,0.357009
beker trofee,trofee met kubussen,0.278459
hoedje vogel twee snavels,twee plaatjes zijkant,0.240939
robot stofzuiger,liggende balk bovenop,0.646453
neuspiercing,neus met piercing,0.324785
tafeltje houder bakje,plateau met bak,0.325259
klappen een standvlak,ruit met doorboren,0.210526
cocktail halve cirkel,smalle houder onder,0.447795
klep riool bolletjes,cilinder met plateau,0.27958
indiaan omgedraaide kegel,neus zonder piercing,0.470939
spijker plateau,spijker in pacman,0.506724
afwas houder doorboord,plateau onderaan,0.55139
korfbal houder bal,korfbal met paal,0.200433
glijbaan,plateau met glijbaan,0.135192
identieke pluim,zelfde uitsteeksel bovenop,0.368919
stekker,horizontale torentjes paddestoel,0.709836
tent,puntmuts neus oor,0.582456
bier beker,scheef wijnglas blokjes,0.431437
vis,snavel armpje pootje,0.581
graan machine,rechthoek bovenop,0.551743
kop koffie,propellor neus sprietje,0.357006
picnic tafel,tafel schaaltje dienblad,0.236557
pinokkio,twee pootjes scheef,0.630133
sauteer pan,wiegje handvat lepel,0.365479
ernergie centrale,platte staaf courgette,0.602245
indiaan clown,uitstekend rechthoek handvat,0.625757
bestuuringssysteem,tafelpoot plateau uitstekend,0.539072
kruk,vlechtjes neus dienblad,0.367982
basketbal hoop,fietsstuur balletje basket,0.367448
maal machine,stoomschip verhoogd vierkant,0.453008
blender,vier uitsteeksels,0.775965
robot met paddenstoel,robot champignon,0.146921
tent,tipi tent,0.106915
wijn glas,wijnglas speciaalbier,0.183707
kuikentje,kuikentje,-1.19209e-07
chicken little,chicken little,-2.38419e-07
piercing,neuspiercing,0.331881
tafel met bakje,tafeltje met bakje,0.0326717
pinokkio,dansend hobbelpaard,0.362774
cocktail,cocktail citroen schijfje,0.201151
courgette,courgette,0.0
neus fancy lepel,neus fancy lepel,-1.19209e-07
casino royaal,casino hendel,0.313983
pippi langkous,pippi langkous,5.96046e-08
basketball hoop,basketbal fietsstuur,0.516774
boot met tutu,stoomboot met tutu,0.115368
stofzuiger,stofzuiger,0.0
vierkant voorkant,paddestoel bovenop,0.377161
piramide driehoek bovenkant,persoon met pyramide,0.369378
uitsteeksel onderkant lang,schroef onderin,0.30425
twee rechthoeken rechts,kip,0.662303
meest compact,balk bovenop,0.70054
klein uitsteeksel bovenkant,stok door neus,0.331536
twee pootjes onderkant,kruiwagen,0.495056
meest complex,dier op zijkant,0.636017
verlengde onderkant,koffiekopje,0.747854
handvaten rond uiteinde,gieter,0.513717
neus en oor,ronde neus,0.231031
trechtervormig uitstekend linksboven,spijker bovenop,0.42093
vierkant aan onderkant,pot op vierkant,0.257759
verticale rechthoek,balk en bal,0.346905
vierkant door object,vierkant omheen,0.325286
ovaal boven links,theepot,0.537847
spijker vierkant,spijker vierkant vlak,0.0617023
piramide,pyramide,0.314106
driekhoek onderkant,schroef op driehoek,0.258635
hoedje twee rechthoeken,hoedje uitstekende puntjes,0.290685
compact,compact,0.0
stokje door neus,balk door neus,0.203734
kruiwagen,kruiwagen,0.0
dier,dier op zijkant,0.2324
lepeltje halve circkel,kopje half rondje,0.314083
schuin vierkant achterkant,gieter,0.589667
neus driehoekje lepeltjes,neus twee uitsteeksels,0.257256
dienblad,dienblad spijker,0.120245
vierkant onder kopje,vierkant object erop,0.322751
armen lange rechthoek,mannetje met armen,0.229729
vierkant door midden,vierkant er doorheen,0.190661
theepot,theekan,0.274341
pot antenne armen,minion met verrekijker,0.41198
driehoek hoedje,zeil van zeilboot,0.514959
kalk trophee blokjes,typhoon,0.695106
toilet spoeler staartje stekker,wiskundige vergelijking,0.726654
boekentas houder boek,watermolen,0.823762
gewichtheffen spring haartje,ronde neus piercing,0.280295
schap hanger bloempot,trechter op salontafel,0.209784
armen ster uitstekels,pinokkio met hanenkam,0.335726
nek pinokkio,rond oor,0.328959
gestrekte armen,diaprojector,0.697621
neus antennen oor,ronde neus rechteroor,0.175733
rond dienblad splinter,neus omgekeerde eiffeltoren,0.374145
dienblad cirkel kopje,pippi langkous vlechten,0.619612
balk bal houder,neus op hoofd,0.41236
twee uitsteekseltjes,rare glijbaan,0.453657
tong uit mond,mixer,0.685326
antenne twee wolkenkrabbers,twee skyscrapers,0.294241
piramide feesthoedje,feesthoedje,0.201654
trophee,trofee,0.395157
stekker afgevlakte piramide,adapter,0.520266
boekentas krantenbak,kleine rugzak,0.314644
neuspiercing spring haartje gewichtheffen,neuspiercing,0.198584
bloempot schapje,bloembak,0.263191
bliksem ruitjes,ruiten en bliksemschicht,0.200116
pollepel pinokkio,cocktail,0.543872
krantenbak grote rugzak,grote rugzak,0.0948336
ronde neus,grote neus,0.20219
splinter rond plateau,naald in arm,0.351531
pippi langkous onderzetter,pippi langkous,0.0845134
basketbalnet bal,basketbal,0.356426
tabakspijp glijbaan,glijbaan,0.120631
doorboord wolkenkrabbers,wolkenkrabber,0.292784
vierkant aan zijkant,vierkant vlak voorkant,0.0831691
driehoek bovenop,driehoekige punt bovenop,0.113431
staand op driehoek,wijnglas voet onderaan,0.332586
twee horizontale balkjes,klein dekseltje erop,0.373828
horizontaal balkje bovenop,steekt minste uit,0.409703
balk door bolletje,stampot stamper aan zijkant,0.33244
plateau twee schuine pootjes,bankje ertegen,0.355188
gebogen balkje onderkant,twee ruiten bovenop,0.341884
rond balkje links,soeplepel rechtsboven,0.347642
twee bolletjes zijkanten,knobbel handvaten tegenover,0.273567
ei zijkant,los paasei voorop,0.353061
rond plateautje zijkant,spijker linksboven,0.294983
op vierkant plateau,drie bolletjes slinger,0.348326
bolletje bovenop,verticale balk voorkant,0.35676
vierkant plateau halverwege,plaat erdoor heen,0.396375
drie kubusjes zijkant,twee haakse handvaten,0.21406
twee minecraft vierkant,twee minecraft links,0.128529
driehoek bovenop,driehoek bovenop,0.0
wijnglas,wijnglas,5.96046e-08
vogeltje,eendje of vogeltje,0.102958
middelvinger,middelvinger,0.0
stampot stamper,stampot stamper,1.19209e-07
bankje twee pootjes,tafeltje of bankje,0.156452
ruitjes gebogen balk,minecraft op vierkantjes,0.396335
voetstuk theelepel handvat,theelepeltje,0.221157
twee knobbel handvatten,knobbel handvaten,0.0755705
ei twee uitsteeksels,ei voorop,0.286476
spijker rond plateau,spijker,0.303656
drie bolletjes,drie bolletjes zijkanten,0.0767218
verticale balk ei,vertikale balk,0.108266
plateau doorheen schoorsteen,pijpje of schoorsteentje,0.321431
minecraft twee handvatten,minecraft rechts,0.271654
plaat verrekijker handvat,plat vierkant zijkant,0.27413
feesthoed blok,driehoek bovenkant,0.385065
hoog spiraal blokjes,twist naar beneden,0.459898
uitlaat dakje staven,pot met kubus deksel,0.342212
gootje balk jets,boek in mok,0.584263
bol staaf schijf,rechterkant vastgemaakt,0.425762
tafeltje bakje,soort kruk aan onderkant,0.337297
dubbele plaat,hengsel aan de rechterkant,0.375134
zeshoek schijf,halve maan bovenkant,0.336152
vlak staven bollen,poot dwars door mok,0.339295
bol gootje hendel,staaf in mok,0.380342
schijf toeter,dik hengsel met twee strepen,0.425157
grondvlak bolletjes,driehoekjes aan zijkant,0.317597
bal balk symmetrisch,balk aan zijkant,0.20624
plaat hoek buis,middenin een bierviltje,0.429315
kijker hendels uitlaat,grote rechtstaande druppel,0.437313
gekanteld plaat handvat,plat vierkant voorkant,0.207277
feesthoed,feesthoedje bovenkant,0.375446
cocktail,kronkel pizzapunt onderkant,0.581759
parallele balken,parallelle staafjes zijkant,0.294223
boek buisje,boek in mok,0.264406
bal balk schijf,buis met schijf,0.203228
tafeltje,tafelpoot onderkant,0.335566
parallele platen,samengeperste vierkanten,0.436214
halve maan,halve maan,0.0
honkbal knuppel,honkbalknuppel dwars doorheen,0.399966
bal rare druppel,rare druppel staafje,0.115916
schijf dubbel uitsteeksel,plaat zijkant,0.24426
bolletjes onderplaat schijf,drie driehoekjes zijkant,0.259656
bol balk handvaten,bal bovenkant hengsel,0.223325
bierviltje,bierviltje om mok,0.182684
twee grote druppels,grote druppel bovenkant,0.201232
plat schroef torens,robot met verrekijker,0.437653
hoedje en onderstel,onverklaarbare uitstulpingen alle zijden,0.501301
kelk lang beker,kubussen erop driehoek eronder,0.434179
vogelbekdier staartje hoeje,is aan zijkant,0.494138
ruimte chip boot balk,balk erop kraan ernaast,0.177413
lepel toeter,spijker door neus,0.316656
tafel bakje,tafel door kom,0.278354
grijper ruit gewicht,zo'n katten klok,0.362097
pinokkio druppel cirkel,voetje cilinder schijf,0.375457
fiets hendels vierkant deksel,kom met piemels,0.484957
vulpen bol neus,hoofd achtig compas naald op hoofd,0.167231
opwindbaar rond plateau,bijzettafeltje b eruit,0.413302
plateau spiralen,plateau kom staartjes,0.31775
bal handvaten staaf,bal erop slangen eruit,0.224343
plateau staaf hendel,speeltoestel met schoorstenen,0.372399
vier lange uitstulpsels,bowlingpin boven en links,0.386025
robot,robot empire state ogen,0.335517
potlood open kegel,holle kegel potloodpunt,0.177088
kelk,kelk driehoek voet,0.156943
perry het vogelbekdier,perry is teken,0.255679
koffiezetapparaat ruimteschip,koffieapparaat ruimteschip flapjes,0.162621
indiaan lepel toeter,indiaan toeter neus,0.0935879
tafel,tafel met bakje,0.139384
grijper met ruit,grijphand empire state ogen,0.527338
pinokkio neus cirkel lepel,pinokkio voetje achterschijf,0.204722
piemels,kom piemels deksel,0.287832
vulpen neus driehoek,blokje vulpen bovenop,0.193929
toeter en plateau,toeter kom plateau,0.0903643
spiralen bogen plateau,spirelli scooter achtig plateau,0.406345
fietsstuur balk bol,kom knuffelt stok,0.371778
glijbaan plateau,glijbaan plaat halvewege,0.218862
kegels toren flubbertje,bowlingpins slurf achterzijde,0.368029
groot vierkant voor,helikopter,0.64462
piramide bovenop,kabouter met puntmuts,0.433287
de trofee,urinoir gedraaide afvoer,0.666074
twee rechthoeken rechts,twee rechthoekige oren,0.155563
liggende staaf bovenop,gebouwtje op ijsberg,0.37062
paal door bolletje,neuspiercing en staart,0.271077
diepe gootsteen,geweer langs hoofd,0.4224
dansende pinokkio kop,stier van onderen,0.3309
kopje op houdertje,waterkraan,0.423461
gieter,vliegtuig met zonnepaneel,0.562039
beslagkom met mixer,dartpijl in achterhoofd,0.512527
omgekeerde pillon links,spijker in arm,0.501331
zes kralen,kop op tafel,0.515539
bal bovenop,korfbal op korf,0.371543
minder diepe gootsteen,kop in tafelblad,0.333523
twee uitstekende tampons,konijnenoren op onderzeeer,0.397939
helikopter,helikopter,0.0
piramide,piramide of punthoed,0.228281
trofee,trofee,0.0
twee rechthoeken rechts,twee rechthoeken rechts,0.0
saaie gebouw,gebouw op berg,0.324376
neuspiercing,neuspiercing,1.78814e-07
geweer of gootsteen,geweer langs hoofd,0.227092
pinokkio,pinokkio danst,0.121338
op houdertje,kop op houder,0.205688
gieter,gieter,0.0
dartpijl,dartpijl in achterhoofd,0.253906
pillon,omgekeerde pilon,0.543407
kralen,kralen op tafel,0.198473
bal bovenop,korfbal op korf,0.371543
gootsteen hendel links,ondiep door tafel,0.344592
tampons,twee tampons,0.128017
robot met antenne,blokjes armen,0.531878
poppetje met feestmuts,driehoekig hoofd,0.451605
een benig juichend poppetje,standbeeld op voet,0.401238
zittend poppetje met stekels,vogel die vliegt,0.318824
hoofd met hanenkam,blok op eiland,0.448073
poppetje met ontstopper,appel,0.478442
etende kat aan tafel,dienblad met schaal,0.382773
opspringende hond,antennes als oren,0.387182
steelpan met lepel,koffiekopje met wafel,0.199627
