word_1,word_2,distance
schoef aan bovenkant,twee pinnen vierkant,0.325443
piramide aan bovenkant,driehoek op bovenkant,0.1574
rust op driehoek,staat op driehoek,0.128068
afgesneden driehoek bovenkant,is teken zijkant,0.248234
balk bovenop horizontaal,meest compact,0.626562
kopje met lepel,bolletje met pin,0.245556
tafel als plateau,balk bovenin,0.496645
twee ruiten bovenkant,bovenkant doorboord vierkant,0.192449
cillinder kegel rondje,ovaal voetstuk,0.440602
twee cillinder bol,stok door onderkant,0.304503
bol driehoek zijkant,bolletje in het midden,0.293174
rond plateau vuurwerk pijl,niks bovenkant onderkant,0.47641
plateau lijkt zwembad,staat op vierkant,0.422209
balk naar beneden,balletje op bovenkant,0.325813
twee cillinders bovenop,vierkant door midden,0.39757
twee ronde kegels,piek op bovenkant,0.430797
schroef platte plaat,schroeven schoorsteen vierkant,0.171247
piramide,piramide,0.0
wijnglas,wijnglas,5.96046e-08
afgesneden piramide,afgezaagde driehoek,0.328879
robot,scheppen aan zijkant,0.618372
balk door bol,lepel rechts rondje,0.275296
tafel eettafel,tafel,0.0711341
schaap,schaap,0.0
ovalen steun onderkant,ovaal voetstuk,0.245877
zonnepaneel,zonnepaneel,0.0
bol platte balk,driehoekige balk,0.0924246
bijzettafeltje met tuutje,bijzettafel,0.308835
zwembad,zwembad,0.0
balk voor mok,bal en balk,0.170489
glijbaan,glijbaan,0.0
rechtopstaande lepel sliert,kegel boven en zijkant,0.21793
verrekijker sateliet,plat vierkant voorop,0.532492
punthoed wielen neus,uitstekende driehoek bovenop,0.372723
rechte lijnen figuren,op gedraaid statief,0.473479
motor van boot,dubbele balk rechts,0.551683
raketmotoren,balk horizontaal bovenop,0.69599
neus piercing,staaf door rondje,0.398193
plank houder,plank snijdt middenboven,0.342189
pinokkio wetenschap kunst,ruit staaf bovenop,0.616768
suiker pot,pijp handvat links,0.496255
rollen schuine plank,bolletje op handvaten,0.263167
indiaan,ronde bal rechtsvoor,0.581819
trechter kom plaat,horizontaal rondje voorop,0.443312
zwembad trap afscheiding,twee kraal ketting zijkanten,0.472904
balhoofd armen neus,verticale balk voorkant,0.292522
glijbaan speelplaats,vierkant snijdt middenonder,0.671008
theepot tol,linksvoor boven zelfde,0.533889
verrekijker,verrekijker,0.0
punthoofd,puntmuts,0.520683
graal beker houder,driehoek statief,0.519376
deurklink,deurklink,0.0
hanenkam,hanenkam,-1.19209e-07
neuspiercing,neuspiercing,1.78814e-07
bakje plank,kom houder plank,0.206783
boiler,boiler,5.96046e-08
theekopje,theekopje,0.0
buis door kopje,staaf links klein,0.326396
indiaan,indiaan,1.19209e-07
taart houder,taart houder,1.19209e-07
pippi langkous,pippi langkous,5.96046e-08
basketbal armpjes,basketbal,0.201071
glijbaan,glijbaan,0.0
vijzel,vijzel,0.0
stapels vierkante blokjes,spijke in bovenkant,0.352086
hanenkam en puntneus,driehoek aan bovenkant,0.347388
trofee met blokjes,gedraaide driehoek onder,0.390051
gelijk aan teken,twee balkjes rechts,0.435729
vierkante staaf liggend,langwerpige balk bovenop,0.303461
vierkant balletje cirkel,doorboorde bol voorkant,0.277827
mengkom door tafel,tafel aan voorkant,0.368737
langwerpig hexagon neus,doorboord vierkant bovenop,0.220067
halve cirkel kegel,schijf aan achterkant,0.466507
bolletjes twee stokken,liggend scherm achterkant,0.457211
bolle neus driehoek,bol aan voorkant,0.254874
spijker schuin hartje,spijker uitstekende deel,0.27011
vierkante ondergrond,twee uitstekende kralensnoeren,0.416761
vierkante stok vooraanzicht,bol op bovenkant,0.280586
schuine cilinder vierkant,twee blokjes bovenop,0.336766
kegels vierkantjes zijkant,blokjes aan voorkant,0.177842
spijker scherm blokjes,spijker bovenkant blokken torentjes,0.189523
hanekam vierkant cirkel,hanenkam prisma voorkant,0.230242
gedraaide balk driehoek,gedraaide driehoek onder,0.131684
afgekapt hoedje is teken,is teken pilon,0.233507
shuttle balkje bovenop,spaceshuttle liggende balk,0.314627
staaf bolletje cirkel,balk bol voorkant,0.25017
tafeltje met schoteltje,tafel met bakje,0.0758494
doorboord vierkant glijbaan,glijbaan doorboord vierkant,-1.19209e-07
blokje onderin cirkel,schijf acterkant ballon,0.241907
scherm achter spijkers,liggend scherm achterkant,0.20583
bolletje driehoek staafje,bol gleufje links,0.270465
spijker hartje schijf,spijker in hartje,0.153096
kralen vierkanten plaat,kralenketting dienblad,0.230507
bolletje armen staaf,bol boven armpjes,0.171576
tutu torens,twin towers tutu,0.309872
ballonnetjes vierkanten blokjes,balon boven links,0.473201
vierkant oog met twee schroef oren,vierkant voorkant,0.180432
scherp driehoekige pet,driehoek bovenop,0.320682
mogelijk mensenlijk lichaam,gedraaid uitsteeksel onderkant,0.465954
pastoor achtig hoedje,is aan rechterkant,0.50272
rechthoekig balk op de beker,rechthoek bovenop,0.229787
appelvormig beker,vliegtuig propellor voorkant,0.596445
tafel vormig pet,veel bovenkant,0.376608
satelliet kop met pinokkio neus,neus en sik,0.264077
oude camera toestel,lange neus staart,0.507711
dikke handvaten beker,honkbalknuppel achterkant,0.321891
een watermeloen neus,bolle neus,0.202665
pacman oortje,rond platform rechts,0.538407
symmetrische koffie beker,vierkant onderkant,0.407261
hangende koffie beker,bol bovenop,0.382018
een groetende robotje,twee stokjes bovenop,0.438134
boomstam in beker,twee stelen,0.47777
champignon kapsel robot,mushroom uitpuilende ogen,0.313376
pyramide pet,driehoek met kogel,0.397258
menselijke trofee,trofee,0.180051
pastor met een is teken,is teken,0.134038
robot stofzuigende snoepmachine,omgekeerde beker schepje,0.41575
clown toeter,toeter appel blaadje,0.258374
ouderwetse pistool,ak zevenenveertig,0.65811
pinokkio sitcom satelliet,satteliet en sik,0.436423
oude zijwaartse cameratoestel,nek halve cirkel,0.372862
elektrische fiets meter,honkbalknuppel electrische fiets,0.176998
onkruid schotel,misvormde waterdruppel boven,0.438616
pacman helicopter landing,pacman helikopterplatform,0.178883
diamanten kop koffie oren,diamantjes plat vierkant,0.278928
moderne lantaarnpaal lamp,toren en bol,0.314515
groetende stofzuiger robot,robot met arm,0.216091
twee waterdruppels,twee druppels water,0.177076
stekker robot vierkant,vierkant rechts vooraan,0.325318
piramide trapezium,piramide bovenaan,0.199407
pirouette armen omhoog,driehoek onderaan,0.412692
kip duckface hanenkam,twee balken rechts,0.460174
lampenkap schouders balk,lange balk bovenop,0.238307
neuspiercing kuifje staaf,doorboord ei rechts,0.327899
opgetilde plank bakje,pootjes plaat bovenaan,0.20694
wijzend been omhoog,gebogen balk onderaan,0.378443
basis koffie deksel,cirkel links achter,0.527731
superman armen wijd,kleine eitjes weerszijden,0.426857
ronde neus staartjes,los ei rechts,0.342975
trechter bijzettafel reling,plat ovaal rechts,0.304997
zwembad kralenketting,plaat onderaan,0.618726
plank knuffel geven,ei bovenop,0.384881
tutu slurf hendel,plaat doorheen voorwerp,0.388353
telescoop twee hendels,meerdere blokjes rechts,0.358206
robot plaat antenne,robot,0.285676
piramide pipet,piramide bovenop,0.260863
cocktailglas pirouette,cocktailglas,0.155245
eend kip,eend,0.0627338
lampenkap balk,balk bovenop,0.251993
doorboord ei,doorboord ei,0.0
plantenbak opgetild tafeltje,hangend aan tafeltje,0.15705
ruitjes oude camera's,ruit achterkant,0.313446
pannetje deksel kegel,steelpan deksel,0.096996
peper zout paaseitjes,peper en zout,0.0570176
ei wolkenkrabber hoofd,ei voorop,0.336717
b vormige reling bijzettafel,balk bijzettafeltje,0.234205
clown zwembad kralenketting,clown,0.288847
wolkenkrabber knuffelen,wolkenkrabber knuffel,0.162824
tutu slurf hendel,tutu,0.352583
oude camera kegels,twee plugs,0.384609
antenne erop,robot met verrekijker,0.364111
driehoekige punt erboven,piramide bovenop,0.292615
op spiraal staaf,wijnglas met blokjes,0.376954
twee uithangbordjes rechts,eend met staart,0.425408
liggende staaf erop,kuikentje met hanenkam,0.455947
viekant door bol,helikopter,0.591995
bakje op plank,beker door tafel,0.31191
blokjes door ruit,filter met handvaten,0.374945
ronde plaat erachter,beker met pollepel,0.351592
staaf bol uiteinden erdoor,deegroller door kopje,0.30898
driehoekig prisma zijkant,neus en bowlingpin,0.411741
rond dienblad rechts,plateau en trompet,0.382385
spiraal erdoor,kopje met diamanten,0.438167
balletje erop,fietsstuur met bolletje,0.259419
plaat erdoor,kopje twee stokjes,0.323205
blokken rechts voor,bowlingpin bovenkant zijkant,0.314453
antenne blokjes plaat,verrekijker met antenne,0.304005
driehoek punt blok,driehoek bovenop,0.168457
trofee driehoek plateau,trofee met blokjes,0.29979
uithangborden lampenkap staartje,uithangbordjes en lampenkap,0.134259
balk erop vleugeltjes,balk bovenop vleugels,0.0980481
zuignap,bol met zuignap,0.135385
tafeltje bakje,tafeltje met bakje,0.0344952
erachter ruit blokken,ruit toenemende vierkanten,0.208568
ronde plaat erachter,rechtsbovenin pollepel,0.4708
staaf bolletjes zonnescherm,zonnepaneel balk rondje,0.331083
bolletje bowlingpin,bolletje aan voorkant,0.199726
trompet,trompet rond plateau,0.286356
drie puntjes rondje,diamanten op plateau,0.512569
staaf bol armpjes,balk met bol,0.259773
plaat erdoor slurf,schijf door midden,0.30483
blokken rechts eruit,twee bowling pinnen,0.389479
symmetrisch vierkant vlak uitsteeksel,twee torens links,0.385181
puntig compact complex,tol linker kant,0.618193
complex puntig lang,spiraal afvoer driehoek,0.452098
hoekig afgevlakte punt,hendel links torens,0.399931
symmetrisch complex puntig balk op de bovenkant twee half ronde uitsteeksel aan de zijkant,lampenkap links rechthoek,0.342346
bekend rond uitsteeksel,lepel arm voorkant,0.344875
puntig lang,schap met kommetje,0.480549
symmetrisch puntig twee blokkige uitsteeksel bodem en rechts,afvoer onder bocht,0.33638
niet symmetrisch afgevlakte onderkant cirkel aan de achterzijde,pentagon staaf links,0.371243
langwerpig voorwerp dwars doorheen vlak afgerond,gieter met zonnepaneel,0.49851
bolvormige object aan de voorkant twee puntige uitsteeksels een uitsteeksel aan linkerzijde,kegel bovenkant bal,0.265836
puntig complex interessant,pion omgekeerd links,0.521546
vlak vierkant bodem cirkel voorkant,lijn van bolletjes,0.265783
langwerpig ronde form bovenkant,symetrisch bal bovenkant,0.183033
complex puntig compact,reservoir plaat onderkant,0.334687
kopvormig vier uitsteeksel,twee ovalen knobbels,0.201269
vlak voorkant paddestoel,paddenstoel,0.408871
driehoek erop,piramide rotzooi,0.355476
spiraal driehoek bodem,spiraal met driehoek,0.0796958
handel afgevlakte driehoek,afgevlakte driekhoek hendeltje,0.271985
kapjes zijkanten balk erop,rechthoek bovenkant lampenkap,0.251716
balk door de bol,slinger bal cirkel,0.294003
tafel mok of bakje,tafel met bakje,0.085633
twee vierkanten met handels van kleinere kubussen,aangedreven vierkant slurven,0.260088
cirkel achter balk erdoorheen,cirkel achterkant,0.144789
cilinder achterkant twee bolletjes,achterliggende staaf knobbels,0.259497
bal voorkant uitsteeksel zijkant,losse bal voorkant,0.102797
mok tafeltje lang gerekte pion,pion b tafeltje,0.156995
platte cirkel voorkant,kleine bolletjes plaat,0.245524
bal op balk voorkant,bal bovenkant balk,0.0644672
slurf aan de voorkant plaat door heen,plaat met slurf,0.128498
cilinder bocht achter,buis achterkant knik,0.20323
robothoofd met plaat,vierkant vlak voorkant,0.34094
spitse punt omhoog,driehoek bovenop uitsteeksels,0.192886
getordeerd,langwerpig blokje driehoek,0.283034
twee rechthoeken zijkant,twee blokken rechts,0.171357
v goot,compact balkje boven,0.53185
stamper door neus,ei staaf rondje,0.273636
tafel met trechter,vierkant vlak hoog,0.424345
zeepaardje,uitsteeksels vier zijdes,0.466077
zeshoekige staaf zijkant,rondje achterkant,0.260393
aanknooppunt voor boten,uitsteeksels achterkant,0.541349
