"Pair","Session","Fribble_nr","Name_a","Name_b","labels_a","labels_b","snautdist_a","snautdist_b","avg_dist"
"001002","pre","1","schoef aan bovenkant","twee pinnen vierkant","schoef aan bovenkant : schroef platte plaat","twee pinnen vierkant : schroeven schoorsteen vierkant",0.242048,0.217135,0.2295915
"001002","pre","2","piramide aan bovenkant","driehoek op bovenkant","piramide aan bovenkant : piramide","driehoek op bovenkant : piramide",0.244887,0.39209,0.3184885
"001002","pre","3","rust op driehoek","staat op driehoek","rust op driehoek : wijnglas","staat op driehoek : wijnglas",0.584964,0.65174,0.618352
"001002","pre","4","afgesneden driehoek bovenkant","is teken zijkant","afgesneden driehoek bovenkant : afgesneden piramide","is teken zijkant : afgezaagde driehoek",0.154054,0.364244,0.259149
"001002","pre","5","balk bovenop horizontaal","meest compact","balk bovenop horizontaal : robot","meest compact : scheppen aan zijkant",0.619481,0.605392,0.6124365
"001002","pre","6","kopje met lepel","bolletje met pin","kopje met lepel : balk door bol","bolletje met pin : lepel rechts rondje",0.38002,0.265075,0.3225475
"001002","pre","7","tafel als plateau","balk bovenin","tafel als plateau : tafel eettafel","balk bovenin : tafel",0.233764,0.546026,0.389895
"001002","pre","8","twee ruiten bovenkant","bovenkant doorboord vierkant","twee ruiten bovenkant : schaap","bovenkant doorboord vierkant : schaap",0.65404,0.626779,0.6404095
"001002","pre","9","cillinder kegel rondje","ovaal voetstuk","cillinder kegel rondje : ovalen steun onderkant","ovaal voetstuk : ovaal voetstuk",0.395213,5.96046e-08,0.1976065298023
"001002","pre","10","twee cillinder bol","stok door onderkant","twee cillinder bol : zonnepaneel","stok door onderkant : zonnepaneel",0.480678,0.675266,0.577972
"001002","pre","11","bol driehoek zijkant","bolletje in het midden","bol driehoek zijkant : bol platte balk","bolletje in het midden : driehoekige balk",0.195063,0.397981,0.296522
"001002","pre","12","rond plateau vuurwerk pijl","niks bovenkant onderkant","rond plateau vuurwerk pijl : bijzettafeltje met tuutje","niks bovenkant onderkant : bijzettafel",0.425086,0.666985,0.5460355
"001002","pre","13","plateau lijkt zwembad","staat op vierkant","plateau lijkt zwembad : zwembad","staat op vierkant : zwembad",0.191488,0.685881,0.4386845
"001002","pre","14","balk naar beneden","balletje op bovenkant","balk naar beneden : balk voor mok","balletje op bovenkant : bal en balk",0.286489,0.22183,0.2541595
"001002","pre","15","twee cillinders bovenop","vierkant door midden","twee cillinders bovenop : glijbaan","vierkant door midden : glijbaan",0.556536,0.628174,0.592355
"001002","pre","16","twee ronde kegels","piek op bovenkant","twee ronde kegels : rechtopstaande lepel sliert","piek op bovenkant : kegel boven en zijkant",0.273115,0.277266,0.2751905
"003004","pre","1","verrekijker sateliet","plat vierkant voorop","verrekijker sateliet : verrekijker","plat vierkant voorop : verrekijker",0.168449,0.584804,0.3766265
"003004","pre","2","punthoed wielen neus","uitstekende driehoek bovenop","punthoed wielen neus : punthoofd","uitstekende driehoek bovenop : puntmuts",0.622274,0.466948,0.544611
"003004","pre","3","rechte lijnen figuren","op gedraaid statief","rechte lijnen figuren : graal beker houder","op gedraaid statief : driehoek statief",0.581947,0.205841,0.393894
"003004","pre","4","motor van boot","dubbele balk rechts","motor van boot : deurklink","dubbele balk rechts : deurklink",0.523963,0.453703,0.488833
"003004","pre","5","raketmotoren","balk horizontaal bovenop","raketmotoren : hanenkam","balk horizontaal bovenop : hanenkam",0.862777,0.596279,0.729528
"003004","pre","6","neus piercing","staaf door rondje","neus piercing : neuspiercing","staaf door rondje : neuspiercing",0.299921,0.532039,0.41598
"003004","pre","7","plank houder","plank snijdt middenboven","plank houder : bakje plank","plank snijdt middenboven : kom houder plank",0.22849,0.325053,0.2767715
"003004","pre","8","pinokkio wetenschap kunst","ruit staaf bovenop","pinokkio wetenschap kunst : boiler","ruit staaf bovenop : boiler",0.812551,0.527008,0.6697795
"003004","pre","9","suiker pot","pijp handvat links","suiker pot : theekopje","pijp handvat links : theekopje",0.37316,0.431811,0.4024855
"003004","pre","10","rollen schuine plank","bolletje op handvaten","rollen schuine plank : buis door kopje","bolletje op handvaten : staaf links klein",0.363666,0.343295,0.3534805
"003004","pre","11","indiaan","ronde bal rechtsvoor","indiaan : indiaan","ronde bal rechtsvoor : indiaan",1.19209e-07,0.581819,0.2909095596045
"003004","pre","12","trechter kom plaat","horizontaal rondje voorop","trechter kom plaat : taart houder","horizontaal rondje voorop : taart houder",0.386099,0.522435,0.454267
"003004","pre","13","zwembad trap afscheiding","twee kraal ketting zijkanten","zwembad trap afscheiding : pippi langkous","twee kraal ketting zijkanten : pippi langkous",0.736913,0.690237,0.713575
"003004","pre","14","balhoofd armen neus","verticale balk voorkant","balhoofd armen neus : basketbal armpjes","verticale balk voorkant : basketbal",0.289703,0.722568,0.5061355
"003004","pre","15","glijbaan speelplaats","vierkant snijdt middenonder","glijbaan speelplaats : glijbaan","vierkant snijdt middenonder : glijbaan",0.0879744,0.676499,0.3822367
"003004","pre","16","theepot tol","linksvoor boven zelfde","theepot tol : vijzel","linksvoor boven zelfde : vijzel",0.389817,0.615333,0.502575
"005006","pre","1","stapels vierkante blokjes","spijke in bovenkant","stapels vierkante blokjes : spijker scherm blokjes","spijke in bovenkant : spijker bovenkant blokken torentjes",0.233541,0.193654,0.2135975
"005006","pre","2","hanenkam en puntneus","driehoek aan bovenkant","hanenkam en puntneus : hanekam vierkant cirkel","driehoek aan bovenkant : hanenkam prisma voorkant",0.322744,0.258657,0.2907005
"005006","pre","3","trofee met blokjes","gedraaide driehoek onder","trofee met blokjes : gedraaide balk driehoek","gedraaide driehoek onder : gedraaide driehoek onder",0.385788,0,0.192894
"005006","pre","4","gelijk aan teken","twee balkjes rechts","gelijk aan teken : afgekapt hoedje is teken","twee balkjes rechts : is teken pilon",0.208051,0.487028,0.3475395
"005006","pre","5","vierkante staaf liggend","langwerpige balk bovenop","vierkante staaf liggend : shuttle balkje bovenop","langwerpige balk bovenop : spaceshuttle liggende balk",0.385728,0.240195,0.3129615
