"Pair","Session","Fribble_nr","Name_a","Name_b","labels_a","labels_b","snautdist_a","snautdist_b","avg_dist"
"005006","pre","6","vierkant balletje cirkel","doorboorde bol voorkant","vierkant balletje cirkel : staaf bolletje cirkel","doorboorde bol voorkant : balk bol voorkant",0.123704,0.163414,0.143559
"005006","pre","7","mengkom door tafel","tafel aan voorkant","mengkom door tafel : tafeltje met schoteltje","tafel aan voorkant : tafel met bakje",0.25352,0.246833,0.2501765
"005006","pre","8","langwerpig hexagon neus","doorboord vierkant bovenop","langwerpig hexagon neus : doorboord vierkant glijbaan","doorboord vierkant bovenop : glijbaan doorboord vierkant",0.233125,0.103313,0.168219
"005006","pre","9","halve cirkel kegel","schijf aan achterkant","halve cirkel kegel : blokje onderin cirkel","schijf aan achterkant : schijf acterkant ballon",0.182248,0.229277,0.2057625
"005006","pre","10","bolletjes twee stokken","liggend scherm achterkant","bolletjes twee stokken : scherm achter spijkers","liggend scherm achterkant : liggend scherm achterkant",0.40242,0,0.20121
"005006","pre","11","bolle neus driehoek","bol aan voorkant","bolle neus driehoek : bolletje driehoek staafje","bol aan voorkant : bol gleufje links",0.187331,0.275088,0.2312095
"005006","pre","12","spijker schuin hartje","spijker uitstekende deel","spijker schuin hartje : spijker hartje schijf","spijker uitstekende deel : spijker in hartje",0.144372,0.272594,0.208483
"005006","pre","13","vierkante ondergrond","twee uitstekende kralensnoeren","vierkante ondergrond : kralen vierkanten plaat","twee uitstekende kralensnoeren : kralenketting dienblad",0.342959,0.42237,0.3826645
"005006","pre","14","vierkante stok vooraanzicht","bol op bovenkant","vierkante stok vooraanzicht : bolletje armen staaf","bol op bovenkant : bol boven armpjes",0.308445,0.170793,0.239619
"005006","pre","15","schuine cilinder vierkant","twee blokjes bovenop","schuine cilinder vierkant : tutu torens","twee blokjes bovenop : twin towers tutu",0.542137,0.599044,0.5705905
"005006","pre","16","kegels vierkantjes zijkant","blokjes aan voorkant","kegels vierkantjes zijkant : ballonnetjes vierkanten blokjes","blokjes aan voorkant : balon boven links",0.124494,0.457898,0.291196
"007008","pre","1","vierkant oog met twee schroef oren","vierkant voorkant","vierkant oog met twee schroef oren : champignon kapsel robot","vierkant voorkant : mushroom uitpuilende ogen",0.390832,0.464575,0.4277035
"007008","pre","2","scherp driehoekige pet","driehoek bovenop","scherp driehoekige pet : pyramide pet","driehoek bovenop : driehoek met kogel",0.295328,0.178659,0.2369935
"007008","pre","3","mogelijk mensenlijk lichaam","gedraaid uitsteeksel onderkant","mogelijk mensenlijk lichaam : menselijke trofee","gedraaid uitsteeksel onderkant : trofee",0.45736,0.684285,0.5708225
"007008","pre","4","pastoor achtig hoedje","is aan rechterkant","pastoor achtig hoedje : pastor met een is teken","is aan rechterkant : is teken",0.439936,0.30306,0.371498
"007008","pre","5","rechthoekig balk op de beker","rechthoek bovenop","rechthoekig balk op de beker : robot stofzuigende snoepmachine","rechthoek bovenop : omgekeerde beker schepje",0.450141,0.378198,0.4141695
"007008","pre","6","appelvormig beker","vliegtuig propellor voorkant","appelvormig beker : clown toeter","vliegtuig propellor voorkant : toeter appel blaadje",0.559201,0.423235,0.491218
"007008","pre","7","tafel vormig pet","veel bovenkant","tafel vormig pet : ouderwetse pistool","veel bovenkant : ak zevenenveertig",0.336205,0.720797,0.528501
"007008","pre","8","satelliet kop met pinokkio neus","neus en sik","satelliet kop met pinokkio neus : pinokkio sitcom satelliet","neus en sik : satteliet en sik",0.268988,0.205245,0.2371165
"007008","pre","9","oude camera toestel","lange neus staart","oude camera toestel : oude zijwaartse cameratoestel","lange neus staart : nek halve cirkel",0.265866,0.235004,0.250435
"007008","pre","10","dikke handvaten beker","honkbalknuppel achterkant","dikke handvaten beker : elektrische fiets meter","honkbalknuppel achterkant : honkbalknuppel electrische fiets",0.506562,0.283012,0.394787
"007008","pre","11","een watermeloen neus","bolle neus","een watermeloen neus : onkruid schotel","bolle neus : misvormde waterdruppel boven",0.314748,0.314212,0.31448
"007008","pre","12","pacman oortje","rond platform rechts","pacman oortje : pacman helicopter landing","rond platform rechts : pacman helikopterplatform",0.229746,0.582491,0.4061185
"007008","pre","13","symmetrische koffie beker","vierkant onderkant","symmetrische koffie beker : diamanten kop koffie oren","vierkant onderkant : diamantjes plat vierkant",0.21114,0.134654,0.172897
"007008","pre","14","hangende koffie beker","bol bovenop","hangende koffie beker : moderne lantaarnpaal lamp","bol bovenop : toren en bol",0.45362,0.203893,0.3287565
"007008","pre","15","een groetende robotje","twee stokjes bovenop","een groetende robotje : groetende stofzuiger robot","twee stokjes bovenop : robot met arm",0.355476,0.422557,0.3890165
"007008","pre","16","boomstam in beker","twee stelen","boomstam in beker : twee waterdruppels","twee stelen : twee druppels water",0.393953,0.36527,0.3796115
"009010","pre","1","stekker robot vierkant","vierkant rechts vooraan","stekker robot vierkant : robot plaat antenne","vierkant rechts vooraan : robot",0.170352,0.706446,0.438399
"009010","pre","2","piramide trapezium","piramide bovenaan","piramide trapezium : piramide pipet","piramide bovenaan : piramide bovenop",0.242168,0.145421,0.1937945
"009010","pre","3","pirouette armen omhoog","driehoek onderaan","pirouette armen omhoog : cocktailglas pirouette","driehoek onderaan : cocktailglas",0.363025,0.621024,0.4920245
"009010","pre","4","kip duckface hanenkam","twee balken rechts","kip duckface hanenkam : eend kip","twee balken rechts : eend",0.168689,0.612387,0.390538
"009010","pre","5","lampenkap schouders balk","lange balk bovenop","lampenkap schouders balk : lampenkap balk","lange balk bovenop : balk bovenop",0.0608375,0.0629312,0.06188435
"009010","pre","6","neuspiercing kuifje staaf","doorboord ei rechts","neuspiercing kuifje staaf : doorboord ei","doorboord ei rechts : doorboord ei",0.337189,0.0666856,0.2019373
"009010","pre","7","opgetilde plank bakje","pootjes plaat bovenaan","opgetilde plank bakje : plantenbak opgetild tafeltje","pootjes plaat bovenaan : hangend aan tafeltje",0.195614,0.255201,0.2254075
"009010","pre","8","wijzend been omhoog","gebogen balk onderaan","wijzend been omhoog : ruitjes oude camera's","gebogen balk onderaan : ruit achterkant",0.565115,0.280315,0.422715
"009010","pre","9","basis koffie deksel","cirkel links achter","basis koffie deksel : pannetje deksel kegel","cirkel links achter : steelpan deksel",0.179477,0.602642,0.3910595
"009010","pre","10","superman armen wijd","kleine eitjes weerszijden","superman armen wijd : peper zout paaseitjes","kleine eitjes weerszijden : peper en zout",0.695485,0.486122,0.5908035
"009010","pre","11","ronde neus staartjes","los ei rechts","ronde neus staartjes : ei wolkenkrabber hoofd","los ei rechts : ei voorop",0.382885,0.220214,0.3015495
"009010","pre","12","trechter bijzettafel reling","plat ovaal rechts","trechter bijzettafel reling : b vormige reling bijzettafel","plat ovaal rechts : balk bijzettafeltje",0.111505,0.35421,0.2328575
"009010","pre","13","zwembad kralenketting","plaat onderaan","zwembad kralenketting : clown zwembad kralenketting","plaat onderaan : clown",0.0771341,0.632038,0.35458605
"009010","pre","14","plank knuffel geven","ei bovenop","plank knuffel geven : wolkenkrabber knuffelen","ei bovenop : wolkenkrabber knuffel",0.439281,0.564212,0.5017465
"009010","pre","15","tutu slurf hendel","plaat doorheen voorwerp","tutu slurf hendel : tutu slurf hendel","plaat doorheen voorwerp : tutu",-1.19209e-07,0.673531,0.3367654403955
"009010","pre","16","telescoop twee hendels","meerdere blokjes rechts","telescoop twee hendels : oude camera kegels","meerdere blokjes rechts : twee plugs",0.281688,0.410234,0.345961
"011012","pre","1","antenne erop","robot met verrekijker","antenne erop : antenne blokjes plaat","robot met verrekijker : verrekijker met antenne",0.232619,0.14381,0.1882145
"011012","pre","2","driehoekige punt erboven","piramide bovenop","driehoekige punt erboven : driehoek punt blok","piramide bovenop : driehoek bovenop",0.168536,0.157244,0.16289
"011012","pre","3","op spiraal staaf","wijnglas met blokjes","op spiraal staaf : trofee driehoek plateau","wijnglas met blokjes : trofee met blokjes",0.485638,0.185124,0.335381
"011012","pre","4","twee uithangbordjes rechts","eend met staart","twee uithangbordjes rechts : uithangborden lampenkap staartje","eend met staart : uithangbordjes en lampenkap",0.404581,0.494189,0.449385
"011012","pre","5","liggende staaf erop","kuikentje met hanenkam","liggende staaf erop : balk erop vleugeltjes","kuikentje met hanenkam : balk bovenop vleugels",0.279545,0.365671,0.322608
"011012","pre","6","viekant door bol","helikopter","viekant door bol : zuignap","helikopter : bol met zuignap",0.496719,0.577196,0.5369575
"011012","pre","7","bakje op plank","beker door tafel","bakje op plank : tafeltje bakje","beker door tafel : tafeltje met bakje",0.151547,0.302057,0.226802
"011012","pre","8","blokjes door ruit","filter met handvaten","blokjes door ruit : erachter ruit blokken","filter met handvaten : ruit toenemende vierkanten",0.205575,0.370377,0.287976
"011012","pre","9","ronde plaat erachter","beker met pollepel","ronde plaat erachter : ronde plaat erachter","beker met pollepel : rechtsbovenin pollepel",-1.19209e-07,0.256058,0.1280289403955
"011012","pre","10","staaf bol uiteinden erdoor","deegroller door kopje","staaf bol uiteinden erdoor : staaf bolletjes zonnescherm","deegroller door kopje : zonnepaneel balk rondje",0.182244,0.434411,0.3083275
"011012","pre","11","driehoekig prisma zijkant","neus en bowlingpin","driehoekig prisma zijkant : bolletje bowlingpin","neus en bowlingpin : bolletje aan voorkant",0.355292,0.297185,0.3262385
"011012","pre","12","rond dienblad rechts","plateau en trompet","rond dienblad rechts : trompet","plateau en trompet : trompet rond plateau",0.627161,0.0578533,0.34250715
"011012","pre","13","spiraal erdoor","kopje met diamanten","spiraal erdoor : drie puntjes rondje","kopje met diamanten : diamanten op plateau",0.455055,0.264533,0.359794
"011012","pre","14","balletje erop","fietsstuur met bolletje","balletje erop : staaf bol armpjes","fietsstuur met bolletje : balk met bol",0.32311,0.278691,0.3009005
"011012","pre","15","plaat erdoor","kopje twee stokjes","plaat erdoor : plaat erdoor slurf","kopje twee stokjes : schijf door midden",0.0918127,0.441643,0.26672785
"011012","pre","16","blokken rechts voor","bowlingpin bovenkant zijkant","blokken rechts voor : blokken rechts eruit","bowlingpin bovenkant zijkant : twee bowling pinnen",0.101939,0.466152,0.2840455
"013014","pre","1","symmetrisch vierkant vlak uitsteeksel","twee torens links","symmetrisch vierkant vlak uitsteeksel : vlak voorkant paddestoel","twee torens links : paddenstoel",0.193077,0.678061,0.435569
"013014","pre","2","puntig compact complex","tol linker kant","puntig compact complex : driehoek erop","tol linker kant : piramide rotzooi",0.536891,0.505268,0.5210795
"013014","pre","3","complex puntig lang","spiraal afvoer driehoek","complex puntig lang : spiraal driehoek bodem","spiraal afvoer driehoek : spiraal met driehoek",0.398148,0.125533,0.2618405
"013014","pre","4","hoekig afgevlakte punt","hendel links torens","hoekig afgevlakte punt : handel afgevlakte driehoek","hendel links torens : afgevlakte driekhoek hendeltje",0.198598,0.276158,0.237378
"013014","pre","5","symmetrisch complex puntig balk op de bovenkant twee half ronde uitsteeksel aan de zijkant","lampenkap links rechthoek","symmetrisch complex puntig balk op de bovenkant twee half ronde uitsteeksel aan de zijkant : kapjes zijkanten balk erop","lampenkap links rechthoek : rechthoek bovenkant lampenkap",0.182993,0.0733491,0.12817105
"013014","pre","6","bekend rond uitsteeksel","lepel arm voorkant","bekend rond uitsteeksel : balk door de bol","lepel arm voorkant : slinger bal cirkel",0.368171,0.33442,0.3512955
"013014","pre","7","puntig lang","schap met kommetje","puntig lang : tafel mok of bakje","schap met kommetje : tafel met bakje",0.543315,0.0944691,0.31889205
"013014","pre","8","symmetrisch puntig twee blokkige uitsteeksel bodem en rechts","afvoer onder bocht","symmetrisch puntig twee blokkige uitsteeksel bodem en rechts : twee vierkanten met handels van kleinere kubussen","afvoer onder bocht : aangedreven vierkant slurven",0.300382,0.396138,0.34826
"013014","pre","9","niet symmetrisch afgevlakte onderkant cirkel aan de achterzijde","pentagon staaf links","niet symmetrisch afgevlakte onderkant cirkel aan de achterzijde : cirkel achter balk erdoorheen","pentagon staaf links : cirkel achterkant",0.209738,0.362029,0.2858835
"013014","pre","10","langwerpig voorwerp dwars doorheen vlak afgerond","gieter met zonnepaneel","langwerpig voorwerp dwars doorheen vlak afgerond : cilinder achterkant twee bolletjes","gieter met zonnepaneel : achterliggende staaf knobbels",0.279039,0.559974,0.4195065
"013014","pre","11","bolvormige object aan de voorkant twee puntige uitsteeksels een uitsteeksel aan linkerzijde","kegel bovenkant bal","bolvormige object aan de voorkant twee puntige uitsteeksels een uitsteeksel aan linkerzijde : bal voorkant uitsteeksel zijkant","kegel bovenkant bal : losse bal voorkant",0.119635,0.193948,0.1567915
"013014","pre","12","puntig complex interessant","pion omgekeerd links","puntig complex interessant : mok tafeltje lang gerekte pion","pion omgekeerd links : pion b tafeltje",0.433543,0.239497,0.33652
"013014","pre","13","vlak vierkant bodem cirkel voorkant","lijn van bolletjes","vlak vierkant bodem cirkel voorkant : platte cirkel voorkant","lijn van bolletjes : kleine bolletjes plaat",0.0710582,0.227954,0.1495061
"013014","pre","14","langwerpig ronde form bovenkant","symetrisch bal bovenkant","langwerpig ronde form bovenkant : bal op balk voorkant","symetrisch bal bovenkant : bal bovenkant balk",0.291539,0.121205,0.206372
"013014","pre","15","complex puntig compact","reservoir plaat onderkant","complex puntig compact : slurf aan de voorkant plaat door heen","reservoir plaat onderkant : plaat met slurf",0.395653,0.196264,0.2959585
"013014","pre","16","kopvormig vier uitsteeksel","twee ovalen knobbels","kopvormig vier uitsteeksel : cilinder bocht achter","twee ovalen knobbels : buis achterkant knik",0.393383,0.263515,0.328449
"015016","pre","1","robothoofd met plaat","vierkant vlak voorkant","robothoofd met plaat : robot","vierkant vlak voorkant : robot",0.602397,0.662252,0.6323245
"015016","pre","2","spitse punt omhoog","driehoek bovenop uitsteeksels","spitse punt omhoog : spitse punt","driehoek bovenop uitsteeksels : spitse driehoek bovenop",0.0639301,0.0717957,0.0678629
"015016","pre","3","getordeerd","langwerpig blokje driehoek","getordeerd : trofee","langwerpig blokje driehoek : trofee wokkel",0.664002,0.463595,0.5637985
"015016","pre","4","twee rechthoeken zijkant","twee blokken rechts","twee rechthoeken zijkant : platte driehoek","twee blokken rechts : platte driehoek bovenop",0.204675,0.269953,0.237314
"015016","pre","5","v goot","compact balkje boven","v goot : kip","compact balkje boven : kip",0.779252,0.649139,0.7141955
"015016","pre","6","stamper door neus","ei staaf rondje","stamper door neus : staaf door ei","ei staaf rondje : staaf door bal",0.156772,0.19938,0.178076
"015016","pre","7","tafel met trechter","vierkant vlak hoog","tafel met trechter : tafel en bakje","vierkant vlak hoog : tafel bakje",0.121536,0.50769,0.314613
"015016","pre","8","zeepaardje","uitsteeksels vier zijdes","zeepaardje : zeepaardje","uitsteeksels vier zijdes : zeepaardje",0,0.466077,0.2330385
"015016","pre","9","zeshoekige staaf zijkant","rondje achterkant","zeshoekige staaf zijkant : zeshoekige staaf zijkant","rondje achterkant : rondje achterkant",5.96046e-08,0,2.98023e-08
"015016","pre","10","aanknooppunt voor boten","uitsteeksels achterkant","aanknooppunt voor boten : staaf twee ballen","uitsteeksels achterkant : staaf ballen zijkant",0.462231,0.261007,0.361619
"015016","pre","11","v goot zijkant","vier verschillend uitsteeksels","v goot zijkant : v goot zijkant","vier verschillend uitsteeksels : driehoek balkje links",-1.19209e-07,0.434709,0.2173544403955
"015016","pre","12","toeter op arm","langwerpig links punt","toeter op arm : toeter","langwerpig links punt : toeter",0.201184,0.608261,0.4047225
"015016","pre","13","geruite handvatten","vierkant vlak onder","geruite handvatten : zes ruiten zijkanten","vierkant vlak onder : zes bolletjes zijkant",0.339159,0.321238,0.3301985
"015016","pre","14","bal op emmer","ei bovenop staaf","bal op emmer : staaf verticaal bal","ei bovenop staaf : bal bovenop",0.229107,0.19578,0.2124435
"015016","pre","15","emmer in vierkant","vierkant halverwege","emmer in vierkant : vierkant midden emmer","vierkant halverwege : vierkant halverwege doorheen",0.0530626,0.0626571,0.05785985
"015016","pre","16","twee ronde handvatten","twee kegels blokje","twee ronde handvatten : telescoop","twee kegels blokje : telescoop",0.684181,0.604951,0.644566
"017018","pre","1","laserogen antenne","plaat spijker bovenop","laserogen antenne : links groterwordende vierkanten","plaat spijker bovenop : antenne plaat",0.40976,0.264258,0.337009
"017018","pre","2","voetjes snavel mohawk","driehoek bovenop","voetjes snavel mohawk : driehoek achterop telescoop","driehoek bovenop : driehoek telescoop",0.465014,0.278515,0.3717645
"017018","pre","3","tornado onderaan","wokkel driekhoek onderaan","tornado onderaan : wokkel met driehoek","wokkel driekhoek onderaan : wokkel driehoek",0.39373,0.159273,0.2765015
"017018","pre","4","trapezium bovenop","twee balkjes rechts","trapezium bovenop : trapezium bovenop","twee balkjes rechts : trapezium",0,0.440988,0.220494
"017018","pre","5","schoonmaakrobot","lange balk bovenop","schoonmaakrobot : schoonmaakrobot","lange balk bovenop : schoonmaakrobot",0,0.734285,0.3671425
"017018","pre","6","heeft een snor","kopje steel bol","heeft een snor : appel steeltje doorboorde neus","kopje steel bol : appel steeltje",0.446342,0.260026,0.353184
"017018","pre","7","rand rondom","plaat twee poten","rand rondom : tafel met bakje","plaat twee poten : tafel met schaaltje",0.501253,0.2813,0.3912765
"017018","pre","8","doorboorde ruit bovenop","driehoek achter boven","doorboorde ruit bovenop : vierkanten door ruiten","driehoek achter boven : dubbele driehoek",0.306515,0.182012,0.2442635
"017018","pre","9","kopje met citroen schijf","breed voetstuk onder","kopje met citroen schijf : cirkel achterop appel steeltje","breed voetstuk onder : rondje achterkant",0.275278,0.46361,0.369444
"017018","pre","10","armen en matje","plaat achter kopje","armen en matje : waterval twee armen","plaat achter kopje : waterval",0.304389,0.568524,0.4364565
"017018","pre","11","pennenbak met neus","kopje lepel staaf","pennenbak met neus : roerstaaf voor verf","kopje lepel staaf : verf spatel",0.234284,0.249178,0.241731
"017018","pre","12","vastgeplakt aan kauwgom","langste spijker links","vastgeplakt aan kauwgom : oude spijker plateau","langste spijker links : oude spijker",0.373797,0.266044,0.3199205
"017018","pre","13","pippi langkous","kralen links rechts","pippi langkous : pippi langkous","kralen links rechts : pippi staartjes",5.96046e-08,0.60252,0.3012600298023
"017018","pre","14","korfbal korf met armen","rond bolletje bovenop","korfbal korf met armen : korf met bal","rond bolletje bovenop : korfbal",0.147264,0.793201,0.4702325
"017018","pre","15","in een plaat","vierkant door figuur","in een plaat : platform doorboort glijbaan","vierkant door figuur : glijbaan",0.458791,0.645883,0.552337
"017018","pre","16","links en boven dezelfde","vier verschillende uitsteeksels","links en boven dezelfde : lepel boven links","vier verschillende uitsteeksels : twee dezelfde lepels",0.187954,0.225232,0.206593
"019020","pre","1","telescoop ogen","rechts vierkante plaat","telescoop ogen : twee telescopen","rechts vierkante plaat : twee telescopen",0.235145,0.492756,0.3639505
"019020","pre","2","driehoek boven","driehoek bovenop","driehoek boven : scherpe driehoek","driehoek bovenop : driehoek en potloodpunt",0.21656,0.142423,0.1794915
"019020","pre","3","gedraaide onderkant","groot aanhangsel onderaan","gedraaide onderkant : gedraaide onderkant","groot aanhangsel onderaan : groot aanhangsel blokjes",1.19209e-07,0.151407,0.0757035596045
"019020","pre","4","vogeltje","twee balkjes rechts","vogeltje : vogeltje","twee balkjes rechts : vogel",0,0.621041,0.3105205
"019020","pre","5","balk boven op","rechthoekig balkje bovenop","balk boven op : omgekeerd bekertje","rechthoekig balkje bovenop : balk omgekeerde bekers",0.463262,0.306674,0.384968
"019020","pre","6","neus met staaf","ronde neus doorboord","neus met staaf : neus doorboord","ronde neus doorboord : doorboorde neus kuif",0.189767,0.145229,0.167498
"019020","pre","7","tafeltje met bakje","tweepotige tafel","tafeltje met bakje : tafeltje met kom","tweepotige tafel : tweepotige tafel",0.12938,0,0.06469
"019020","pre","8","kat","ruit bovenop","kat : kat","ruit bovenop : kat ruit bovenkant",-1.19209e-07,0.178159,0.0890794403955
"019020","pre","9","beker met roerlepel","lepeltje rechts","beker met roerlepel : beker met lepeltje","lepeltje rechts : standaard en lepeltje",0.0646195,0.211934,0.13827675
"019020","pre","10","horizontale doorlopende staaf","linksboven soort schans","horizontale doorlopende staaf : schans en spijker","linksboven soort schans : schroef erdoor schans",0.555122,0.267679,0.4114005
"019020","pre","11","midden bovenste rij","verticale balk bovenop","midden bovenste rij : neus met pennetje","verticale balk bovenop : neus rechthoek pen",0.391361,0.280257,0.335809
"019020","pre","12","spijker en plateau","rond plateau rechts","spijker en plateau : schijfje met spijker","rond plateau rechts : rond plateau rechts",0.284474,0,0.142237
"019020","pre","13","rij met ruitjes","op een plaat","rij met ruitjes : macaroni","op een plaat : blad macaroni sprieten",0.503587,0.434696,0.4691415
"019020","pre","14","balletje boven op","verticale balk zijkant","balletje boven op : bolletje ongelijke armen","verticale balk zijkant : bal rechthoek armen",0.343937,0.237822,0.2908795
"019020","pre","15","twee balkjes boven","plaat door kopje","twee balkjes boven : vlak met slurf","plaat door kopje : blad door beker",0.304845,0.260653,0.282749
"019020","pre","16","joystick boven op","rechtop midden lepel","joystick boven op : telescoop met pennen","rechtop midden lepel : joysticks telescoop wormpje",0.301938,0.44964,0.375789
"021022","pre","1","uitschuifbare blokjes","dubbele spijker zijkant","uitschuifbare blokjes : paddestoel kaas plakje kijkes","dubbele spijker zijkant : paddestoel bovenop",0.341643,0.409912,0.3757775
"021022","pre","2","hoge piramide","hoed aan bovenkant","hoge piramide : piramide koekje schroef","hoed aan bovenkant : spijker aan zijkant",0.333929,0.18146,0.2576945
"021022","pre","3","omhoog gaande draaimolen","driehoek met spiraal","omhoog gaande draaimolen : beker trofee","driehoek met spiraal : trofee met kubussen",0.638844,0.290372,0.464608
"021022","pre","4","vogel met twee snavels","dubbele plaatjes","vogel met twee snavels : hoedje vogel twee snavels","dubbele plaatjes : twee plaatjes zijkant",0.0510563,0.156819,0.10393765
"021022","pre","5","stofzuigende robot","balk bovenop","stofzuigende robot : robot stofzuiger","balk bovenop : liggende balk bovenop",0.142006,0.0575776,0.0997918
