"StartTime","EndTime","director","trial","target","pair","transitions","round"
308260,326510,"A","1.6_ref",16,"005006",3,1
345610,363650,"B","1.7_ref",11,"005006",5,1
388320,433910,"A","1.8_ref",8,"005006",11,1
501500,512850,"B","1.9_ref",3,"005006",4,1
521360,543220,"A","1.10_ref",10,"005006",5,1
587000,632260,"B","1.11_ref",5,"005006",13,1
653660,680240,"A","1.12_ref",4,"005006",7,1
715320,724810,"B","1.13_ref",7,"005006",2,1
731850,753780,"A","1.14_ref",2,"005006",8,1
766010,780010,"B","1.15_ref",1,"005006",4,1
839730,862720,"A","1.16_ref",12,"005006",3,1
905350,920300,"B","2.1_ref",14,"005006",1,2
935100,954840,"A","2.2_ref",9,"005006",5,2
979370,995570,"B","2.3_ref",16,"005006",5,2
1011040,1026570,"A","2.4_ref",3,"005006",1,2
1048760,1060640,"B","2.5_ref",10,"005006",1,2
1074920,1093160,"A","2.6_ref",11,"005006",3,2
1116020,1126020,"B","2.7_ref",12,"005006",3,2
1145580,1155190,"A","2.8_ref",7,"005006",1,2
1169840,1186690,"B","2.9_ref",6,"005006",3,2
1200320,1210300,"A","2.10_ref",13,"005006",5,2
1218170,1231480,"B","2.11_ref",2,"005006",5,2
1248510,1273870,"A","2.12_ref",15,"005006",5,2
1279790,1299330,"B","2.13_ref",8,"005006",8,2
1309050,1318340,"A","2.14_ref",1,"005006",4,2
1322910,1334300,"B","2.15_ref",4,"005006",6,2
1359630,1375870,"A","2.16_ref",5,"005006",6,2
1383340,1401480,"B","3.1_ref",9,"005006",3,3
1407030,1421140,"A","3.2_ref",10,"005006",1,3
1458450,1468030,"B","3.3_ref",15,"005006",3,3
1475100,1489300,"A","3.4_ref",12,"005006",1,3
1529770,1539310,"B","3.5_ref",1,"005006",5,3
1550890,1558680,"A","3.6_ref",4,"005006",2,3
1563460,1570810,"B","3.7_ref",7,"005006",2,3
1577480,1589060,"A","3.8_ref",16,"005006",5,3
1604140,1610970,"B","3.9_ref",13,"005006",1,3
1620430,1627630,"A","3.10_ref",2,"005006",1,3
1634810,1646420,"B","3.11_ref",11,"005006",3,3
1654190,1667120,"A","3.12_ref",6,"005006",1,3
1673580,1683180,"B","3.13_ref",5,"005006",3,3
1688190,1702840,"A","3.14_ref",8,"005006",3,3
1708420,1716780,"B","3.15_ref",3,"005006",1,3
1725290,1735100,"A","3.16_ref",14,"005006",3,3
1739220,1751890,"B","4.1_ref",10,"005006",5,4
1772640,1786380,"A","4.2_ref",15,"005006",3,4
1793310,1809030,"B","4.3_ref",6,"005006",5,4
1817730,1824360,"A","4.4_ref",1,"005006",1,4
1829260,1841820,"B","4.5_ref",16,"005006",1,4
