"pair","target","peaks_self_avg","peaks_other_avg","gesture_self_avg","gesture_other_avg","range_self_avg","range_other_avg","self","first_round","is_firstdir","prepost_self","prepost_other","selfpre_otherpost","otherpre_selfpost"
4,1,-0.265586546405521,-0.215740391068415,-0.579551440889141,-0.365837209165617,-0.557201210310453,-0.0768382527123865,"A","B",0,0.243119,0.503188,0.434575,0.321002
4,2,-0.0475096168056798,0.133182696291332,-0.353964196292088,0.168448370143195,0.0629242593928607,-0.520193104048011,"A","A",1,1.19209e-07,0.569286,1.19209e-07,0.569286
4,3,-0.383971165331149,-0.0537403862228181,-0.116503938821505,-0.223361054683267,-0.751018076108977,-0.237752468436742,"A","B",0,0.536865,0.654838,0.454985,0.504158
4,4,0.0521826938685334,-0.0662019250570947,-0.163995990315621,0.120956318649078,0.00273384663016329,0.601697779286373,"A","A",1,0.33259,0.306634,0.378124,0.420977
4,5,0.351259625891173,0.631644249662398,0.477146704854953,0.619622859337302,0.770827824101275,0.0851822236615039,"A","B",0,0.197186,0.337071,0.262937,0.318537
4,6,0.239105776382683,-0.172125005148446,-0.0452658615803297,0.00222618991378679,-0.0202272077401845,-0.0120359622196279,"A","A",1,0.214547,0.122294,0.374482,0.295182
4,7,-0.302971162908351,-0.109817310977063,-0.437075286406791,-0.0690118873273881,0.272445109700783,0.444879186322296,"A","B",0,0.229984,0.400639,0.478768,0.304635
4,8,-0.172125005148446,0.220413468131268,0.417781640487307,0.215940421637311,0.0197604272050057,0.10726810294022,"A","A",1,0.529048,0.484913,0.529048,0.484913
4,9,0.369951934142588,0.781182715673717,0.477146704854953,1.56946388921963,0.278015746660441,-0.352754408848398,"A","B",0,0.259664,0.137859,0.365087,0.367071
4,10,-0.103586541559925,-0.0412788473885414,-0.258980093303854,0.310924524625545,0.136001379544141,-0.17852573161764,"A","A",1,0.257945,0.265187,0.336877,0.38814
4,11,-0.321663471159766,-0.209509621651276,-0.425202273533262,-0.0808849002009172,0.0978575123481755,0.774303940897814,"A","B",0,0.334152,0.221122,0.298071,0.298214
4,12,0.0895673103713633,-0.0848942333085097,-0.140249964568563,0.0378452285343742,-0.272076048856313,0.34239028303538,"A","A",1,0.265367,0.13611,0.32603,0.255322
