"director","target","File","round","peaks1","peaks2","gesture1","gesture2","range1","range2","transitions","pair"
"A",10,"pair04.eaf",1,50,3,12,31,0.092622,0.034938,3,4
"A",10,"pair05.eaf",1,26,3,9,19,0.143943,0.14832,1,5
"A",10,"pair07.eaf",1,61,3,15,27,0.119773,0.178208,4,7
"A",10,"pair08.eaf",1,101,27,47,60,0.114945,0.153317,5,8
"A",10,"pair09.eaf",1,42,7,6,18,0.121115,0.120412,3,9
"A",10,"pair10.eaf",1,105,59,76,70,0.138625,0.245499,15,10
"A",10,"pair11.eaf",1,53,28,33,18,0.180878,0,8,11
"A",10,"pair12.eaf",1,38,21,14,27,0.081799,0.118242,7,12
"A",10,"pair13.eaf",1,79,18,12,40,0.130908,0.11073,3,13
"A",10,"pair14.eaf",1,51,19,24,44,0.103349,0.098238,7,14
"A",10,"pair15.eaf",1,120,63,79,83,0.112734,0.194693,15,15
"A",10,"pair16.eaf",1,82,40,6,45,0.152153,0.162891,11,16
"A",10,"pair17.eaf",1,58,4,21,41,0.062644,0.048931,5,17
"A",10,"pair18.eaf",1,62,6,10,26,0.163103,0.079096,1,18
"A",10,"pair20.eaf",1,58,6,46,19,0.139451,0.13669,6,20
"A",10,"pair21.eaf",1,49,6,24,20,0.102385,0,7,21
"A",10,"pair22.eaf",1,42,13,23,27,0.073289,0.134416,6,22
"A",10,"pair23.eaf",1,79,16,51,44,0.108876,0.117824,14,23
"A",10,"pair24.eaf",1,244,126,136,135,0.194219,0.189321,49,24
"A",4,"pair04.eaf",1,72,4,35,21,0.112291,0.062036,3,4
"A",4,"pair05.eaf",1,37,14,4,32,0.142746,0.180722,10,5
"A",4,"pair07.eaf",1,29,7,14,16,0.130548,0.146459,9,7
"A",4,"pair08.eaf",1,80,11,40,30,0.098417,0.047489,7,8
"A",4,"pair09.eaf",1,45,28,12,17,0.126772,0.118558,7,9
"A",4,"pair10.eaf",1,43,9,28,15,0.13255,0.126584,3,10
"A",4,"pair11.eaf",1,34,18,22,4,0.150615,0,7,11
"A",4,"pair12.eaf",1,9,9,12,13,0,0.06131,2,12
"A",4,"pair13.eaf",1,167,64,79,91,0.372445,0.12467,21,13
"A",4,"pair14.eaf",1,73,42,35,27,0.115043,0.252997,15,14
"A",4,"pair15.eaf",1,96,41,46,39,0.141588,0.128466,18,15
"A",4,"pair16.eaf",1,61,18,14,43,0.102596,0.197143,11,16
"A",4,"pair17.eaf",1,52,2,10,44,0.071619,0.06127,1,17
"A",4,"pair18.eaf",1,26,4,3,18,0.144467,0.092194,1,18
"A",4,"pair20.eaf",1,58,31,7,31,0.175974,0.295679,14,20
"A",4,"pair21.eaf",1,39,15,18,12,0.111452,0.101673,11,21
"A",4,"pair22.eaf",1,44,13,17,23,0.075783,0.079943,9,22
"A",4,"pair23.eaf",1,52,13,32,25,0.12768,0.116682,7,23
"A",4,"pair24.eaf",1,38,14,0,35,0.186272,0.165508,7,24
"A",2,"pair04.eaf",1,60,6,18,17,0.08841,0.015407,5,4
"A",2,"pair05.eaf",1,39,19,17,37,0.15084,0.212886,10,5
"A",2,"pair07.eaf",1,27,3,10,9,0.119483,0.175783,4,7
"A",2,"pair08.eaf",1,53,49,35,34,0.118927,0.135509,11,8
"A",2,"pair09.eaf",1,47,14,13,7,0.135995,0.091204,7,9
"A",2,"pair10.eaf",1,40,10,30,14,0.120835,0.145457,3,10
"A",2,"pair11.eaf",1,29,16,15,11,0.185496,0,10,11
"A",2,"pair12.eaf",1,34,9,24,21,0,0,7,12
"A",2,"pair13.eaf",1,74,5,24,29,0.121288,0.067337,8,13
"A",2,"pair14.eaf",1,57,22,17,16,0.102855,0.194246,13,14
"A",2,"pair15.eaf",1,48,46,43,33,0.098532,0.136012,15,15
"A",2,"pair16.eaf",1,124,34,47,41,0.149248,0.246253,23,16
"A",2,"pair17.eaf",1,12,2,8,15,0,0.017334,1,17
"A",2,"pair18.eaf",1,39,6,17,15,0.181056,0.136205,7,18
"A",2,"pair20.eaf",1,35,10,26,3,0.144545,0.194002,10,20
"A",2,"pair21.eaf",1,51,8,3,17,0.116999,0.194307,7,21
"A",2,"pair22.eaf",1,47,27,15,23,0.079359,0.116705,14,22
"A",2,"pair23.eaf",1,30,15,6,10,0.081423,0.105596,7,23
"A",2,"pair24.eaf",1,33,23,25,12,0.186626,0.095374,12,24
"A",12,"pair04.eaf",1,59,3,16,28,0.072166,0.068807,3,4
"A",12,"pair05.eaf",1,72,28,22,38,0.138843,0.233572,12,5
"A",12,"pair07.eaf",1,34,2,12,14,0.108418,0,1,7
