"pair","fribble","postdist","predist"
5,8,0.500809280141742,0.406019276939386
7,8,0.351593559788129,0.334311520680735
8,8,0.429684256353645,0.443405127152816
9,8,0.405368314635403,0.330248326994491
10,8,0.348238585456726,0.298122569918611
11,8,0.482555172135726,0.341416072100395
12,8,0.454920204416403,0.316481533460332
13,8,0.474533227182194,0.330780759453781
14,8,0.333413880678935,0.362422790378358
15,8,0.309997814316903,0.375122654251824
16,8,0.429690529261871,0.33758848905562
17,8,0.413651440412768,0.311205365695037
18,8,0.358957377172242,0.296053498983433
19,8,0.289119399363016,0.334635113365934
20,8,0.458889963165436,0.299837518483444
21,8,0.393095790378484,0.30231697205453
22,8,0.426927720346726,0.352231687866183
23,8,0.359850447024048,0.348165535368001
24,8,0.672063987101323,0.386108811013382
4,9,0.361212916912597,0.309236865490672
5,9,0.469210219960016,0.45772345829752
7,9,0.491064314880677,0.31723851710553
8,9,0.4223970530495,0.343135948292906
9,9,0.42854195737071,0.359120307490223
10,9,0.367628482080306,0.300246317870968
11,9,0.400478539928269,0.31787283252923
12,9,0.394181082325564,0.317813626490589
13,9,0.351551589465903,0.301795211620659
14,9,0.354821883862984,0.312334536574749
15,9,0.323591309209065,0.304915214888797
16,9,0.464375757401935,0.345124289393428
17,9,0.416389152888258,0.314919877797365
18,9,0.386785000562661,0.318309997208435
19,9,0.271363208370777,0.305585993453855
20,9,0.448584419104323,0.283528229221668
21,9,0.32612611016921,0.326777189970013
22,9,0.338838237908564,0.347769519314219
23,9,0.332949487432355,0.290027790702803
24,9,0.430051610354436,0.352349923923605
4,10,0.38419223504679,0.331531184725418
5,10,0.543201940674885,0.535530624911238
7,10,0.481845280816562,0.352023825049407
8,10,0.519043199477659,0.408974690362892
9,10,0.405025841728355,0.351795783266448
10,10,0.321039632443452,0.269494738429831
11,10,0.549731500687226,0.348357096314422
12,10,0.361074371683936,0.303209903650002
13,10,0.449052909689587,0.341564213857032
14,10,0.466819500730903,0.343073769472494
15,10,0.378562966662048,0.383578342385616
16,10,0.522680576770516,0.360439912415962
17,10,0.658140259404396,0.363136277534031
18,10,0.526700944669774,0.380231853574526
19,10,0.311786329553887,0.415264299139396
20,10,0.362242160304894,0.294262731447807
21,10,0.338030273875887,0.302235481329243
22,10,0.39251514980871,0.395292110741124
23,10,0.37446468683971,0.260002466849959
24,10,0.384215212637355,0.365123984403859
4,11,0.332816887286371,0.312800503335901
5,11,0.464190432140903,0.361073774285622
7,11,0.470553532723581,0.336324624717241
8,11,0.398825069589003,0.32960024662322
9,11,0.434977835224565,0.325346121564537
10,11,0.319135134258548,0.264258414506866
11,11,0.405294409682644,0.293174752965606
12,11,0.422065277253378,0.345129423774905
13,11,0.460889319258339,0.33012952841823
14,11,0.31741380018571,0.343036149628475
15,11,0.319057938552681,0.382837852463084
16,11,0.362329344595645,0.350431674160021
17,11,0.417555249506452,0.300114390440297
18,11,0.443365069166258,0.281799729913382
19,11,0.259845115484735,0.299666714854528
20,11,0.426405932634081,0.293707313947377
21,11,0.332897489109306,0.287057745270427
22,11,0.339149160731242,0.360152674838935
23,11,0.389194501023097,0.280869344249344
24,11,0.447221719449532,0.353225720114999
4,12,0.358966364975935,0.286619057878769
5,12,0.50691348410421,0.485483152791833
7,12,0.430071937461048,0.306484180502579
8,12,0.381824626076597,0.378959689289311
9,12,0.391466909839311,0.329850514419443
10,12,0.341190927451661,0.356944272294645
11,12,0.552079104608097,0.347731485962868
12,12,0.5006816339107,0.345554530620553
13,12,0.360600894497284,0.334659566171423
14,12,0.467279067923919,0.312423588708058
15,12,0.35532808015429,0.323931472375962
16,12,0.404795600521903,0.374034271575541
17,12,0.549008934728548,0.340005003847187
18,12,0.447504938610097,0.345833199098666
19,12,0.307453697727597,0.290653278119837
20,12,0.449101400952161,0.30682264268396
21,12,0.411429717656145,0.3304943172261
22,12,0.393317852289403,0.350922950543458
23,12,0.345975485540161,0.337145060300855
24,12,0.367201423452774,0.357219253666636
4,13,0.587224058566558,0.29420958645643
5,13,0.522471464449385,0.433491799049087
7,13,0.380258564987516,0.321310958825025
8,13,0.399469191989615,0.432178637012865
9,13,0.701084346540355,0.486661084927626
10,13,0.321892372062097,0.27407848276198
11,13,0.430865496397035,0.395343688316601
12,13,0.442341320937694,0.330583741888381
13,13,0.431727443971952,0.387145788408853
14,13,0.398887167053839,0.355239504016958
15,13,0.363865880235548,0.322658423334303
16,13,0.423136141992355,0.35570243652904
17,13,0.495528305730452,0.438342060893854
18,13,0.372638954270281,0.402097742073222
19,13,0.240144095113197,0.312997336499334
20,13,0.478109863496516,0.375609313137811
21,13,0.541593125750903,0.350336376577625
22,13,0.450368842771097,0.472062353044868
23,13,0.534204118674742,0.346263631246994
24,13,0.409461103139371,0.298119893297515
4,14,0.339841646532839,0.296429673209787
5,14,0.556592467331064,0.370489561930349
7,14,0.350641996629806,0.327624931000124
8,14,0.768047269313562,0.329488213174098
9,14,0.610293676776311,0.366712111048371
10,14,0.338754147291194,0.302829845808452
11,14,0.421664675397337,0.310008705593707
12,14,0.395264139098403,0.330342769622777
13,14,0.39379421164921,0.31564534548677
14,14,0.274436412319058,0.333375225774914
15,14,0.426711822709742,0.337120229378297
16,14,0.371108643470242,0.396552246995282
17,14,0.375140551597761,0.315902296453784
18,14,0.459018866862032,0.292897501029058
19,14,0.363745027972824,0.276357876136911
20,14,0.380544445207016,0.304283516481522
21,14,0.402712567198661,0.289044640027038
22,14,0.341310066561564,0.359915315173571
23,14,0.353681915229306,0.350101562216931
24,14,0.404736199686687,0.304829595610499
4,15,0.387766416995677,0.317357598803928
5,15,0.560927525643323,0.449646500870632
7,15,0.356256799351847,0.35386969149113
8,15,0.425905604516324,0.363158447668041
9,15,0.4916186919135,0.426260987296694
10,15,0.319262973723871,0.281896485015765
11,15,0.54280210694959,0.353110442869341
12,15,0.396755741488597,0.319287907332216
13,15,0.507164274492565,0.327226541005087
14,15,0.389525753836532,0.405472944490636
15,15,0.361501388972806,0.347998620942183
16,15,0.40323998755021,0.381002767011505
17,15,0.35030837597384,0.39570695813746
18,15,0.461515316078694,0.296337328851196
19,15,0.3193103709529,0.319892568513753
20,15,0.436296756229103,0.312671962194135
21,15,0.357432415408548,0.273903231136514
22,15,0.3929522585485,0.452905860729526
23,15,0.345224262245258,0.310524645261433
24,15,0.394476588695258,0.392802606336816
4,16,0.41395756410011,0.339041041210295
5,16,0.552394843870484,0.420211356133302
7,16,0.437871227341323,0.366625587455909
8,16,0.420665895746532,0.316556587815266
9,16,0.451299056891484,0.348969133570776
10,16,0.425098333628,0.284606922417875
11,16,0.449240313422274,0.302001188509171
12,16,0.365500534734505,0.346674358472228
13,16,0.432825507656274,0.404927456751464
14,16,0.368433943679242,0.390942745842019
15,16,0.340367640218403,0.32614356838166
16,16,0.451770527708855,0.359624941833317
17,16,0.527617013262129,0.306350436061632
18,16,0.504966800251371,0.31314488779749
19,16,0.312056414542629,0.312056834809479
20,16,0.397022613594597,0.317761456593905
21,16,0.359560542529629,0.304761641658865
22,16,0.345314688259565,0.372695468366172
23,16,0.305277434087565,0.273080017417588
24,16,0.41647941066371,0.37274779472501
