"pair","fribble","postdist","predist"
4,1,0.414014725915803,0.287145907990644
5,1,0.486619466735516,0.395191932097047
7,1,0.459300778565871,0.337545687332811
8,1,0.375716787192161,0.377216681838004
9,1,0.437504851048984,0.370010586455467
10,1,0.355253341697855,0.265213226899488
11,1,0.498134059290692,0.315437648445383
12,1,0.393796417020984,0.300331287086074
13,1,0.47929172554321,0.413566280156361
14,1,0.425005478243629,0.448982615955182
15,1,0.300237721973839,0.326173315756044
16,1,0.496861951004968,0.348243938758931
17,1,0.411568641662518,0.32132331747567
18,1,0.391114243576565,0.312327795661991
19,1,0.270165088676632,0.272621952928602
20,1,0.406542766478758,0.298614953644639
21,1,0.491956756960991,0.287964044138791
22,1,0.545272762737081,0.382341044023636
23,1,0.353086201413952,0.295958504080776
24,1,0.378454119928435,0.457138024270542
4,2,0.514747417742168,0.416810919530662
5,2,0.455360288581548,0.359007981605901
7,2,0.374957546111055,0.31667717266828
8,2,0.410823104843048,0.383418528363156
9,2,0.469830172677171,0.382052762433837
10,2,0.332902194992145,0.272643908858263
11,2,0.612546818871698,0.366102846339288
12,2,0.32804411938109,0.294190937653161
13,2,0.497165195403516,0.335122147574995
14,2,0.342666164521274,0.378966501914007
15,2,0.336990025735694,0.35803825128825
16,2,0.445048236077866,0.360997981391772
17,2,0.41451349854471,0.328484749421506
18,2,0.410256058939077,0.294809486716931
19,2,0.335619050648855,0.295782041735913
20,2,0.346256458951571,0.302820588462041
21,2,0.475688401729926,0.277036713436219
22,2,0.331339331403887,0.350471534766284
23,2,0.34957100018379,0.266517481766616
24,2,0.451347401065177,0.309767797589315
4,3,0.486379125425935,0.36092405207449
5,3,0.531473803904774,0.402085672132635
7,3,0.387930885438065,0.329852577298839
8,3,0.550649302621014,0.460823598317815
9,3,0.586423033668097,0.374260813929165
10,3,0.333584130771694,0.304203360341539
11,3,0.477756140693632,0.35525938216591
12,3,0.531529364085968,0.38721437752252
13,3,0.535704841536903,0.354392874985923
14,3,0.43856479083339,0.360238925553787
15,3,0.358884818131,0.340006148442651
16,3,0.379600891182468,0.381561621092194
17,3,0.561076529564355,0.37631716020403
18,3,0.403646895962419,0.328050914220494
19,3,0.557564037461419,0.382498981431134
20,3,0.373093589659661,0.305614092387213
21,3,0.359620501918226,0.324957235716261
22,3,0.388708346313065,0.332955121994017
23,3,0.371677447711274,0.297945893369665
24,3,0.370392043744387,0.353514320217127
4,4,0.329356980900532,0.321453026495816
5,4,0.767120999674668,0.454641466960343
7,4,0.503280667527984,0.335141241550433
8,4,0.414153624926855,0.353839629329777
9,4,0.48565173341379,0.319691042415794
10,4,0.386686688469323,0.267963305115732
11,4,0.448402908540484,0.294378443621094
12,4,0.370923009610958,0.32796607725322
13,4,0.401072895334639,0.368936879560292
14,4,0.331576931861177,0.312037700787197
15,4,0.410565380127194,0.291626245714743
16,4,0.467854881478882,0.413975612260391
17,4,0.357423512204942,0.304328702390277
18,4,0.425423376021839,0.368659740313844
19,4,0.302211768204161,0.369625397026509
20,4,0.35437093530929,0.363320443779302
21,4,0.368613167155242,0.304447201080624
22,4,0.364943550479087,0.364524144679366
23,4,0.332407849450242,0.295075980015069
24,4,0.38180371542129,0.323552808724271
4,5,0.344381759243597,0.285614294931295
5,5,0.522019311304926,0.432767270132908
7,5,0.382811001231581,0.290599647909415
8,5,0.422363697521113,0.34948457404975
9,5,0.678806303008952,0.355180481448786
10,5,0.454314488557113,0.312035820446948
11,5,0.692379989931682,0.352376985363697
12,5,0.393209159374226,0.283987452276072
13,5,0.377886225138855,0.31367952655994
14,5,0.320314639037732,0.300857822410756
15,5,0.390729983968194,0.333587417378984
16,5,0.446330205086661,0.409607444889885
17,5,0.40154845964519,0.285925175994662
18,5,0.364525808441981,0.307849287986751
19,5,0.263096768048532,0.362452168948988
20,5,0.421898975487694,0.339897135272676
21,5,0.331083511152581,0.246010437607745
22,5,0.377170000345468,0.335468950681408
23,5,0.299345854789984,0.267424046993221
24,5,0.378239536477645,0.359896930865927
4,6,0.444744633090129,0.341881336644291
5,6,0.448586271655258,0.42778803035616
7,6,0.370649339691258,0.326353167183655
8,6,0.527927241017848,0.413002463988926
9,6,0.415509804602594,0.33992149587723
10,6,0.364431862869565,0.319226738996785
11,6,0.564099540633645,0.342763121239819
12,6,0.549394632539419,0.316401852294709
13,6,0.355905678964505,0.320544079877444
14,6,0.35154975325829,0.399602253921317
15,6,0.332768689240226,0.347300295718039
16,6,0.534471535874935,0.347928183153296
17,6,0.625730777940419,0.339979459531648
18,6,0.569396793842339,0.282884227111932
19,6,0.312154513212871,0.310854417271949
20,6,0.362063188706694,0.325346655212324
21,6,0.427363443759177,0.316622262820616
22,6,0.394145313770532,0.389391897246292
23,6,0.320368023649355,0.285337791778173
24,6,0.39762527711929,0.319803203456095
4,7,0.43881400169871,0.262307765893644
5,7,0.613130963617655,0.461887725628911
7,7,0.348617835391008,0.319814535789188
8,7,0.37213726870479,0.390900194644916
9,7,0.443843198399419,0.384224767796733
10,7,0.397978454828194,0.267491711303647
11,7,0.406844174669652,0.36380354128783
12,7,0.368042034487568,0.314836988225636
13,7,0.395469483829339,0.320569407194863
14,7,0.443612588028758,0.331851709633993
15,7,0.328384652253194,0.356730295345163
16,7,0.374286556436216,0.327471408061667
17,7,0.426870646015274,0.38655767682937
18,7,0.387081257758597,0.309408012777558
19,7,0.289330679562821,0.301022799685591
20,7,0.324246729573843,0.299069186672538
21,7,0.481675542170095,0.360217107459901
22,7,0.38489925765221,0.349424068815969
23,7,0.367606842710129,0.336533606052307
24,7,0.499410224537677,0.315474105067515
4,8,0.590140898381516,0.37037548795346
