"pair","target","round","pair_peaks","pair_gesture","pair_range","pair_transitions","postdist","predist"
"003004",1,1,42,27,0.13456,7,NA,NA
"003004",1,2,22,19,0.354509,5,NA,NA
"003004",1,3,18,8,0.151019,1,NA,NA
"003004",1,4,6,9,0.257977,1,NA,NA
"003004",1,5,18,10,0.155276,2,NA,NA
"003004",1,6,11,12,0.265327,3,NA,NA
"003004",2,1,62,37,0.248038,9,NA,NA
"003004",2,2,41,36,0.339035,5,NA,NA
"003004",2,3,13,9,0.214542,1,NA,NA
"003004",2,4,19,19,0.136092,3,NA,NA
"003004",2,5,13,7,0.307462,1,NA,NA
"003004",2,6,7,19,0.041357,3,NA,NA
"003004",3,1,57,34,0.19501,12,NA,NA
"003004",3,2,45,32,0.161652,5,NA,NA
"003004",3,3,52,19,0.326194,9,NA,NA
"003004",3,4,33,26,0.316268,7,NA,NA
"003004",3,5,19,20,0.244792,3,NA,NA
"003004",3,6,12,10,0.215998,1,NA,NA
"003004",4,1,88,47,0.221766,13,NA,NA
"003004",4,2,64,60,0.321731,15,NA,NA
"003004",4,3,12,14,0.381656,1,NA,NA
"003004",4,4,8,7,0.181048,1,NA,NA
"003004",4,5,7,11,0.106745,1,NA,NA
"003004",4,6,12,16,0.108375,1,NA,NA
"003004",5,1,103,59,0.306097,15,NA,NA
"003004",5,2,95,57,0.315962,12,NA,NA
"003004",5,3,10,13,0.133179,1,NA,NA
"003004",5,4,15,16,0.197683,3,NA,NA
"003004",5,5,12,20,0.074674,1,NA,NA
"003004",5,6,11,5,0.170206,1,NA,NA
"003004",6,1,68,45,0.309187,7,NA,NA
"003004",6,2,17,12,0.398706,3,NA,NA
"003004",6,3,6,8,0.209081,1,NA,NA
"003004",6,4,21,16,0.188702,1,NA,NA
"003004",6,5,9,12,0.208321,1,NA,NA
"003004",6,6,10,26,0.234,2,NA,NA
"003004",7,1,45,28,0.295301,5,NA,NA
"003004",7,2,57,45,0.29098,5,NA,NA
"003004",7,3,49,33,0.439483,5,NA,NA
"003004",7,4,47,38,0.266825,5,NA,NA
"003004",7,5,21,15,0.271796,3,NA,NA
"003004",7,6,21,15,0.216944,3,NA,NA
"003004",8,1,108,59,0.272044,19,NA,NA
"003004",8,2,43,22,0.40988,7,NA,NA
"003004",8,3,55,43,0.37366,9,NA,NA
"003004",8,4,15,10,0.165015,1,NA,NA
"003004",8,5,3,8,0.154175,0,NA,NA
"003004",8,6,8,10,0.097059,2,NA,NA
"003004",9,1,134,83,0.261194,17,NA,NA
"003004",9,2,48,35,0.161499,7,NA,NA
"003004",9,3,46,25,0.241412,10,NA,NA
"003004",9,4,41,24,0.273428,4,NA,NA
"003004",9,5,99,56,0.290023,13,NA,NA
"003004",9,6,19,20,0.273989,6,NA,NA
"003004",10,1,79,47,0.0448,6,NA,NA
"003004",10,2,32,16,0.140029,1,NA,NA
"003004",10,3,25,26,0.203444,3,NA,NA
"003004",10,4,23,21,0.126006,1,NA,NA
"003004",10,5,26,16,0.29711,3,NA,NA
"003004",10,6,22,6,0.137796,1,NA,NA
"003004",11,1,115,74,0.287531,17,NA,NA
"003004",11,2,63,34,0.376933,9,NA,NA
"003004",11,3,20,16,0.088449,5,NA,NA
"003004",11,4,22,23,0.271541,3,NA,NA
"003004",11,5,15,14,0.196664,3,NA,NA
"003004",11,6,3,6,0.143739,0,NA,NA
"003004",12,1,109,55,0.264111,9,NA,NA
"003004",12,2,43,16,0.33672,3,NA,NA
"003004",12,3,16,19,0.299649,3,NA,NA
"003004",12,4,10,15,0.122803,1,NA,NA
"003004",12,5,13,13,0.193638,2,NA,NA
"003004",12,6,14,8,0.149095,1,NA,NA
"003004",13,1,54,43,0.34673,13,NA,NA
"003004",13,2,31,18,0.249797,5,NA,NA
"003004",13,3,26,10,0.352474,5,NA,NA
"003004",13,4,6,9,0.164419,1,NA,NA
"003004",13,5,10,4,0.347227,1,NA,NA
"003004",13,6,11,10,0.273292,1,NA,NA
"003004",14,1,50,35,0.215949,3,NA,NA
"003004",14,2,38,32,0.323239,9,NA,NA
"003004",14,3,63,46,0.302023,7,NA,NA
"003004",14,4,26,22,0.26769,4,NA,NA
"003004",14,5,10,13,0.224254,1,NA,NA
"003004",14,6,7,19,0.205848,1,NA,NA
"003004",15,1,112,75,0.322434,7,NA,NA
"003004",15,2,87,47,0.401937,13,NA,NA
"003004",15,3,25,30,0.262443,7,NA,NA
"003004",15,4,17,18,0.270101,3,NA,NA
"003004",15,5,20,11,0.221172,4,NA,NA
"003004",15,6,2,6,0.214614,0,NA,NA
"003004",16,1,83,48,0.27049,9,NA,NA
"003004",16,2,343,240,0.405623,51,NA,NA
"003004",16,3,17,16,0.38913,5,NA,NA
"003004",16,4,10,6,0.149459,1,NA,NA
"003004",16,5,8,14,0.270033,1,NA,NA
"003004",16,6,8,10,0.164913,2,NA,NA
"005006",1,1,25,17,0.198238,4,NA,NA
"005006",1,2,28,19,0.118035,4,NA,NA
"005006",1,3,25,23,0.108333,5,NA,NA
"005006",1,4,15,6,0.064273,1,NA,NA
"005006",1,5,25,22,0.092154,1,NA,NA
"005006",1,6,15,12,0.062904,1,NA,NA
"005006",2,1,61,27,0.364145,8,NA,NA
"005006",2,2,38,24,0.146199,5,NA,NA
"005006",2,3,17,18,0.106682,1,NA,NA
"005006",2,4,15,10,0.097947,1,NA,NA
"005006",2,5,14,10,0.107122,3,NA,NA
"005006",2,6,9,10,0.139315,1,NA,NA
"005006",3,1,32,31,0.303762,4,NA,NA
"005006",3,2,42,31,0.188675,1,NA,NA
"005006",3,3,12,19,0.097316,1,NA,NA
"005006",3,4,16,16,0.12301,1,NA,NA
"005006",3,5,14,17,0.12415,1,NA,NA
"005006",3,6,24,20,0.045143,1,NA,NA
"005006",4,1,47,33,0.180826,7,NA,NA
"005006",4,2,30,25,0.191261,6,NA,NA
"005006",4,3,17,20,0.237927,2,NA,NA
"005006",4,4,23,20,0.101575,2,NA,NA
"005006",4,5,12,15,0.093693,1,NA,NA
"005006",4,6,15,18,0.060877,1,NA,NA
"005006",5,1,118,75,0.216153,13,NA,NA
"005006",5,2,43,24,0.207456,6,NA,NA
"005006",5,3,26,15,0.127038,3,NA,NA
"005006",5,4,17,13,0.100841,1,NA,NA
"005006",5,5,12,19,0.053987,1,NA,NA
"005006",5,6,11,13,0.130011,3,NA,NA
"005006",6,1,62,16,0.208332,3,NA,NA
"005006",6,2,42,26,0.183377,3,NA,NA
"005006",6,3,31,16,0.062052,1,NA,NA
"005006",6,4,30,38,0.199855,5,NA,NA
"005006",6,5,33,21,0.064273,1,NA,NA
"005006",6,6,24,22,0.06137,1,NA,NA
"005006",7,1,15,15,0.144147,2,NA,NA
"005006",7,2,15,23,0.230968,1,NA,NA
"005006",7,3,12,17,0.112787,2,NA,NA
"005006",7,4,20,23,0.121702,3,NA,NA
"005006",7,5,9,22,0.032212,1,NA,NA
"005006",7,6,11,15,0.070728,1,NA,NA
"005006",8,1,117,60,0.1995,11,NA,NA
"005006",8,2,59,31,0.21718,8,NA,NA
"005006",8,3,29,22,0.106301,3,NA,NA
"005006",8,4,17,14,0.097396,1,NA,NA
"005006",8,5,51,42,0.196471,7,NA,NA
"005006",8,6,21,24,0.11593,1,NA,NA
"005006",9,1,192,52,0.226783,21,NA,NA
"005006",9,2,64,30,0.17012,5,NA,NA
"005006",9,3,47,19,0.253996,3,NA,NA
"005006",9,4,29,30,0.129598,3,NA,NA
"005006",9,5,65,40,0.138135,5,NA,NA
"005006",9,6,20,22,0.07497,1,NA,NA
"005006",10,1,53,33,0.14262,5,NA,NA
"005006",10,2,26,29,0.171904,1,NA,NA
"005006",10,3,23,14,0.094708,1,NA,NA
"005006",10,4,23,17,0.212498,5,NA,NA
"005006",10,5,24,12,0.121538,1,NA,NA
"005006",10,6,12,24,0.04446,1,NA,NA
"005006",11,1,39,13,0.145834,5,NA,NA
"005006",11,2,48,50,0.158991,3,NA,NA
"005006",11,3,29,20,0.142539,3,NA,NA
"005006",11,4,24,15,0.083783,2,NA,NA
"005006",11,5,18,17,0.05189,1,NA,NA
"005006",11,6,15,14,0.094727,1,NA,NA
"005006",12,1,62,34,0.219491,3,NA,NA
"005006",12,2,26,15,0.215238,3,NA,NA
"005006",12,3,18,25,0.148019,1,NA,NA
"005006",12,4,29,21,0.112085,1,NA,NA
"005006",12,5,10,9,0.033532,1,NA,NA
"005006",12,6,13,13,0.044504,1,NA,NA
"005006",13,1,43,18,0.107384,7,NA,NA
"005006",13,2,25,22,0.085186,5,NA,NA
"005006",13,3,15,12,0.084661,1,NA,NA
"005006",13,4,20,10,0.092836,1,NA,NA
"005006",13,5,9,15,0.051885,1,NA,NA
"005006",13,6,12,6,0.071461,1,NA,NA
"005006",14,1,45,34,0.182595,7,NA,NA
"005006",14,2,26,23,0.175709,1,NA,NA
"005006",14,3,21,25,0.122178,3,NA,NA
"005006",14,4,16,17,0.08895,3,NA,NA
"005006",14,5,18,16,0.042753,1,NA,NA
"005006",14,6,13,20,0.080123,1,NA,NA
"005006",15,1,61,17,0.259012,5,NA,NA
"005006",15,2,69,23,0.164997,5,NA,NA
"005006",15,3,23,17,0.144433,3,NA,NA
"005006",15,4,24,27,0.200407,3,NA,NA
"005006",15,5,12,26,0.083942,1,NA,NA
"005006",15,6,21,27,0.047539,3,NA,NA
"005006",16,1,37,39,0.12538,3,NA,NA
"005006",16,2,49,33,0.210791,5,NA,NA
"005006",16,3,25,24,0.111364,5,NA,NA
"005006",16,4,29,25,0.066823,1,NA,NA
"005006",16,5,21,15,0.096494,1,NA,NA
"005006",16,6,18,16,0.098439,1,NA,NA
"007008",1,1,53,42,0.327255,9,NA,NA
"007008",1,2,59,69,0.192613,7,NA,NA
"007008",1,3,34,37,0.104069,1,NA,NA
"007008",1,4,32,48,0.145878,7,NA,NA
"007008",1,5,27,40,0.115455,5,NA,NA
"007008",1,6,13,22,0.11918,3,NA,NA
"007008",2,1,51,62,0.124168,7,NA,NA
"007008",2,2,21,21,0.156698,3,NA,NA
"007008",2,3,16,23,0.082389,1,NA,NA
"007008",2,4,12,25,0.086993,1,NA,NA
"007008",2,5,15,27,0.068303,0,NA,NA
"007008",2,6,11,19,0.082007,3,NA,NA
"007008",3,1,76,62,0.206366,13,NA,NA
"007008",3,2,36,28,0.320275,3,NA,NA
"007008",3,3,16,25,0.10257,1,NA,NA
"007008",3,4,7,14,0.089354,3,NA,NA
"007008",3,5,6,18,0.091213,2,NA,NA
"007008",3,6,7,17,0.073643,1,NA,NA
"007008",4,1,66,66,0.33184,7,NA,NA
"007008",4,2,17,22,0.08605,3,NA,NA
"007008",4,3,7,13,0,1,NA,NA
"007008",4,4,6,14,0.125344,1,NA,NA
"007008",4,5,16,29,0.086999,4,NA,NA
"007008",4,6,6,14,0.100576,1,NA,NA
"007008",5,1,91,82,0.203174,13,NA,NA
"007008",5,2,23,28,0.153799,3,NA,NA
"007008",5,3,29,31,0.12133,1,NA,NA
"007008",5,4,42,38,0.16916,3,NA,NA
"007008",5,5,15,22,0.097985,2,NA,NA
"007008",5,6,12,27,0.079219,3,NA,NA
"007008",6,1,104,78,0.198972,15,NA,NA
"007008",6,2,20,34,0.072692,5,NA,NA
"007008",6,3,20,37,0.143287,3,NA,NA
"007008",6,4,17,27,0.207648,1,NA,NA
"007008",6,5,11,18,0.038246,3,NA,NA
"007008",6,6,12,24,0.096853,1,NA,NA
"007008",7,1,194,143,0.309548,17,NA,NA
"007008",7,2,13,29,0.104578,1,NA,NA
"007008",7,3,17,28,0.074774,1,NA,NA
"007008",7,4,14,19,0.037569,3,NA,NA
"007008",7,5,17,21,0.214947,5,NA,NA
"007008",7,6,6,21,0.07075,1,NA,NA
"007008",8,1,137,121,0.243174,21,NA,NA
"007008",8,2,33,54,0.059592,7,NA,NA
"007008",8,3,11,22,0.023827,1,NA,NA
"007008",8,4,15,20,0.072435,1,NA,NA
"007008",8,5,15,19,0.059191,1,NA,NA
"007008",8,6,12,19,0.153135,1,NA,NA
"007008",9,1,405,217,0.215594,61,NA,NA
"007008",9,2,29,42,0.189552,5,NA,NA
"007008",9,3,132,107,0.198285,13,NA,NA
"007008",9,4,21,34,0.180032,1,NA,NA
"007008",9,5,17,34,0.140748,1,NA,NA
"007008",9,6,16,23,0.076888,3,NA,NA
"007008",10,1,79,61,0.211818,7,NA,NA
"007008",10,2,23,30,0.06457,1,NA,NA
"007008",10,3,39,38,0.156092,5,NA,NA
"007008",10,4,11,15,0.097014,3,NA,NA
"007008",10,5,10,25,0.10094,1,NA,NA
"007008",10,6,19,14,0.178317,2,NA,NA
"007008",11,1,60,47,0.104768,9,NA,NA
"007008",11,2,67,61,0.256693,15,NA,NA
"007008",11,3,24,31,0.098282,3,NA,NA
"007008",11,4,19,30,0.163864,3,NA,NA
"007008",11,5,22,27,0.097026,3,NA,NA
"007008",11,6,34,49,0.11923,3,NA,NA
"007008",12,1,61,66,0.178615,11,NA,NA
"007008",12,2,19,26,0.161166,1,NA,NA
"007008",12,3,16,28,0.107186,1,NA,NA
"007008",12,4,19,17,0.062468,1,NA,NA
"007008",12,5,8,20,0.129202,1,NA,NA
"007008",12,6,13,10,0.130193,1,NA,NA
"007008",13,1,48,51,0.086797,5,NA,NA
"007008",13,2,17,25,0,1,NA,NA
"007008",13,3,17,28,0.080656,1,NA,NA
"007008",13,4,10,19,0.184354,1,NA,NA
"007008",13,5,17,19,0.070846,2,NA,NA
"007008",13,6,9,16,0.166298,3,NA,NA
"007008",14,1,37,43,0.101553,9,NA,NA
