"fribble","pair_predist","pair_postdist","visdist"
1,0.375766836849137,0.443904941132209,0.1094056
2,0.373409148440627,0.445389717250414,0.0943593333333333
3,0.351002472088386,0.401792499169278,0.129096
4,0.370528114041774,0.440234175208361,0.0849906666666667
5,0.386755338816001,0.450437300609074,0.0748664
6,0.349762263073443,0.418954671104107,0.0794924
7,0.38026862322906,0.440827280903855,0.0957817333333333
8,0.37602204950931,0.445199161430524,0.1004782
9,0.361266194802256,0.413920688942292,0.0944030666666667
10,0.382093536573047,0.475852739497801,0.0885916
11,0.371952227019856,0.455124952263486,0.0833964
12,0.371904114733688,0.447686456494791,0.0991884666666667
13,0.370388564586205,0.431548248747003,0.148323333333333
14,0.371283942604085,0.426258160327757,0.0938004
15,0.371688490693016,0.431977151339687,0.0830187333333333
16,0.379883797690808,0.425436986367346,0.1001066
