"director","trial","target","pair","round","peaks1","peaks2","gesture1","gesture2","range1","range2","transitions"
"A","1.14_ref",2,"039040",1,12,3,6,4,0.111845,0.036194,3
"A","1.14_ref",2,"041042",1,99,13,59,27,0.119181,0.081117,9
"A","1.14_ref",2,"043044",1,83,20,40,26,0.136612,0.061972,11
"A","1.14_ref",2,"045046",1,38,6,22,6,0.108854,0.083503,3
"A","1.14_ref",2,"047048",1,12,11,17,6,0.106923,0,7
"A","1.14_ref",2,"049050",1,51,6,38,14,0.147567,0.061018,3
"A","1.14_ref",2,"051052",1,46,7,30,3,0.109481,0.122045,3
"A","1.14_ref",2,"053054",1,85,26,39,13,0.288529,0.054575,11
"A","1.14_ref",2,"055056",1,67,12,42,22,0.183771,0.055921,8
"A","1.14_ref",2,"057058",1,43,20,23,11,0.110688,0.151151,5
"A","1.14_ref",2,"063064",1,64,6,35,10,0.097569,0.159665,1
"A","1.14_ref",2,"065066",1,32,3,24,4,0.125526,0.081794,3
"A","1.14_ref",2,"067068",1,56,14,43,47,0.13888,0.137614,9
"A","1.14_ref",2,"069070",1,51,16,6,13,0.116468,0.156796,9
"A","1.14_ref",2,"075076",1,23,19,12,11,0.119734,0.112598,5
"A","1.14_ref",2,"077078",1,51,24,18,11,0.111765,0.100236,9
"A","1.14_ref",2,"081082",1,23,19,22,17,0,0.065491,3
"A","1.14_ref",2,"099100",1,37,18,25,12,0.125539,0.096379,3
"A","1.14_ref",2,"101102",1,57,9,25,12,0.097761,0,5
"A","1.14_ref",2,"107108",1,28,19,23,33,0.083523,0.12234,7
"A","1.14_ref",2,"109110",1,43,35,26,21,0.10997,0.14047,11
"A","1.14_ref",2,"119120",1,30,18,14,16,0.115415,0.183495,9
"A","1.14_ref",2,"121122",1,43,27,15,19,0.137275,0.177012,13
"A","1.14_ref",2,"123124",1,37,18,10,22,0.125137,0.081955,7
"A","1.14_ref",2,"131132",1,32,27,27,14,0.165996,0.141341,15
"A","1.14_ref",2,"135136",1,31,4,32,7,0.140941,0.0603,1
"A","1.14_ref",2,"141142",1,83,10,48,38,0.100893,0.163421,11
"A","1.14_ref",2,"143144",1,42,27,31,25,0.14998,0.127701,15
"A","1.14_ref",2,"145146",1,14,21,17,22,0.198286,0.112184,9
"A","1.16_ref",12,"003004",1,89,20,40,15,0.140177,0.123934,9
"A","1.16_ref",12,"005006",1,48,14,16,18,0.129203,0.090288,3
"A","1.16_ref",12,"007008",1,39,22,40,26,0.092235,0.08638,11
"A","1.16_ref",12,"009010",1,72,53,37,45,0.128195,0.129945,9
"A","1.16_ref",12,"013014",1,60,9,39,27,0.166776,0.102114,9
"A","1.16_ref",12,"015016",1,22,13,25,12,0.101999,0.109805,5
"A","1.16_ref",12,"017018",1,64,41,40,45,0.170972,0.114904,9
"A","1.16_ref",12,"019020",1,186,40,109,78,0.145227,0.159608,18
"A","1.16_ref",12,"021022",1,30,20,27,15,0.112416,0,5
"A","1.16_ref",12,"025026",1,41,9,29,19,0.140903,0.114385,3
"A","1.16_ref",12,"027028",1,60,15,31,13,0.156933,0.13411,7
"A","1.16_ref",12,"035036",1,41,12,18,30,0.113958,0.180315,7
"A","1.16_ref",12,"037038",1,41,18,34,18,0.095535,0,5
"A","1.16_ref",12,"039040",1,37,10,33,11,0.115429,0.101315,4
"A","1.16_ref",12,"041042",1,70,9,40,8,0.114251,0.183292,5
"A","1.16_ref",12,"043044",1,77,24,40,26,0.122257,0.136889,5
"A","1.16_ref",12,"045046",1,47,8,29,12,0.170789,0.067013,4
"A","1.16_ref",12,"047048",1,35,30,27,14,0.12619,0.140247,9
"A","1.16_ref",12,"049050",1,46,19,40,23,0.114418,0.102029,5
"A","1.16_ref",12,"051052",1,40,13,30,2,0.19574,0.261738,1
"A","1.16_ref",12,"053054",1,48,5,28,4,0.306665,0.064208,6
"A","1.16_ref",12,"055056",1,81,27,38,48,0.230582,0.16631,9
"A","1.16_ref",12,"057058",1,65,29,41,16,0.161933,0.187868,8
"A","1.16_ref",12,"063064",1,66,12,42,25,0.090296,0.088135,3
"A","1.16_ref",12,"065066",1,80,27,52,11,0.120265,0.308219,7
"A","1.16_ref",12,"067068",1,60,8,35,25,0.123333,0.129563,7
"A","1.16_ref",12,"069070",1,40,5,4,8,0.102154,0.111776,5
"A","1.16_ref",12,"075076",1,54,13,18,15,0.146577,0.119236,6
"A","1.16_ref",12,"077078",1,43,7,23,6,0.118664,0.077588,3
"A","1.16_ref",12,"081082",1,24,15,28,25,0,0.058023,5
"A","1.16_ref",12,"099100",1,56,30,41,36,0.099273,0.181575,7
"A","1.16_ref",12,"101102",1,54,9,27,15,0.094524,0.043161,5
"A","1.16_ref",12,"107108",1,26,29,19,21,0.128212,0.097019,11
"A","1.16_ref",12,"109110",1,64,32,30,51,0.159251,0.150153,9
"A","1.16_ref",12,"119120",1,66,47,40,41,0.124861,0.248844,23
"A","1.16_ref",12,"121122",1,53,9,31,13,0.098224,0.094495,5
"A","1.16_ref",12,"123124",1,68,31,38,42,0.139516,0.206991,17
"A","1.16_ref",12,"131132",1,42,28,27,16,0.194499,0.194913,8
"A","1.16_ref",12,"135136",1,76,20,52,17,0.12559,0.058719,11
"A","1.16_ref",12,"141142",1,83,13,46,33,0.106719,0.129822,12
"A","1.16_ref",12,"143144",1,46,35,38,22,0.123574,0.101111,9
"A","1.16_ref",12,"145146",1,44,21,26,7,0.350515,0.144718,7
"A","1.2_ref",6,"003004",1,50,18,26,19,0.100868,0.208319,7
"A","1.2_ref",6,"005006",1,48,14,8,8,0.125392,0.08294,3
"A","1.2_ref",6,"007008",1,52,52,36,42,0.093416,0.105556,15
"A","1.2_ref",6,"009010",1,103,140,69,83,0.143833,0.174377,35
"A","1.2_ref",6,"013014",1,36,3,17,13,0.171037,0.073265,5
"A","1.2_ref",6,"015016",1,25,9,24,13,0.149591,0.054597,1
"A","1.2_ref",6,"017018",1,28,46,27,53,0.137215,0.213306,5
"A","1.2_ref",6,"019020",1,108,26,53,78,0.162383,0.148725,16
"A","1.2_ref",6,"021022",1,36,16,16,16,0.095651,0.145268,3
"A","1.2_ref",6,"025026",1,70,17,53,21,0.120413,0.070531,9
"A","1.2_ref",6,"027028",1,108,64,43,41,0.11373,0.126422,21
"A","1.2_ref",6,"035036",1,65,36,29,33,0.112499,0.163668,10
"A","1.2_ref",6,"037038",1,83,24,45,31,0.110456,0.000597,9
"A","1.2_ref",6,"039040",1,35,7,23,15,0.097086,0.071612,7
"A","1.2_ref",6,"041042",1,49,17,27,4,0.097949,0.177016,3
"A","1.2_ref",6,"043044",1,19,9,20,9,0.173578,0.058207,5
"A","1.2_ref",6,"045046",1,31,14,17,11,0.161982,0.091055,5
"A","1.2_ref",6,"047048",1,29,19,25,16,0.088074,0,7
"A","1.2_ref",6,"049050",1,46,9,24,12,0.140228,0.11058,1
"A","1.2_ref",6,"051052",1,63,16,30,8,0.163938,0.064761,11
"A","1.2_ref",6,"053054",1,51,7,41,26,0.091859,0.037702,4
"A","1.2_ref",6,"055056",1,64,25,40,28,0.09091,0.120172,8
"A","1.2_ref",6,"057058",1,49,40,13,18,0.155453,0.134679,6
"A","1.2_ref",6,"063064",1,78,44,48,22,0.11785,0.104704,9
"A","1.2_ref",6,"065066",1,24,30,31,12,0.118997,0.100271,13
"A","1.2_ref",6,"067068",1,44,16,20,6,0.166169,0.087364,7
"A","1.2_ref",6,"069070",1,42,21,19,20,0.085454,0.142361,13
"A","1.2_ref",6,"075076",1,74,21,22,16,0.134463,0.146347,10
"A","1.2_ref",6,"077078",1,53,9,33,11,0.141694,0.11052,5
"A","1.2_ref",6,"081082",1,31,27,11,21,0.126082,0.11486,10
"A","1.2_ref",6,"099100",1,48,23,48,6,0.07449,0.056431,7
"A","1.2_ref",6,"101102",1,76,24,39,23,0.137228,0,11
"A","1.2_ref",6,"107108",1,36,21,20,18,0.121057,0.174843,10
"A","1.2_ref",6,"109110",1,57,25,27,29,0.205888,0.130481,7
"A","1.2_ref",6,"119120",1,41,19,14,16,0.139233,0.138051,5
"A","1.2_ref",6,"121122",1,51,16,21,15,0.095049,0.112504,4
"A","1.2_ref",6,"123124",1,43,22,33,26,0.152452,0.128384,7
"A","1.2_ref",6,"131132",1,62,28,47,28,0.150373,0.14058,10
"A","1.2_ref",6,"135136",1,30,14,36,9,0.114331,0.060317,3
"A","1.2_ref",6,"141142",1,92,19,32,58,0.150405,0.142368,15
"A","1.2_ref",6,"143144",1,33,23,25,29,0.178026,0.093285,5
"A","1.2_ref",6,"145146",1,57,31,14,38,0.176453,0.304725,15
"A","1.4_ref",14,"003004",1,38,12,19,16,0.119969,0.09598,3
"A","1.4_ref",14,"005006",1,31,14,22,12,0.126711,0.055884,7
"A","1.4_ref",14,"007008",1,22,15,27,16,0,0.101553,9
"A","1.4_ref",14,"009010",1,72,64,36,31,0.149146,0.169033,21
"A","1.4_ref",14,"013014",1,17,9,19,13,0.12474,0.122139,5
"A","1.4_ref",14,"015016",1,51,19,39,17,0.112166,0.21136,11
"A","1.4_ref",14,"017018",1,28,51,36,52,0.187282,0.093067,5
"A","1.4_ref",14,"019020",1,79,17,45,28,0.141737,0.071965,10
"A","1.4_ref",14,"021022",1,41,33,29,36,0.098043,0.13157,9
"A","1.4_ref",14,"025026",1,67,24,54,19,0.121682,0.130468,9
"A","1.4_ref",14,"027028",1,50,28,29,26,0.114968,0.105714,9
"A","1.4_ref",14,"035036",1,55,15,24,15,0.135748,0.142632,7
"A","1.4_ref",14,"037038",1,57,15,44,12,0.088199,0,11
"A","1.4_ref",14,"039040",1,38,22,34,8,0.098015,0.107741,8
"A","1.4_ref",14,"041042",1,44,24,22,21,0.136125,0.208031,5
"A","1.4_ref",14,"043044",1,26,10,24,25,0.168345,0.096103,5
"A","1.4_ref",14,"045046",1,25,5,18,7,0.147226,0.038245,3
"A","1.4_ref",14,"047048",1,43,17,29,8,0.112453,0.204679,8
"A","1.4_ref",14,"049050",1,40,7,30,20,0.197784,0.119956,1
"A","1.4_ref",14,"051052",1,84,23,37,10,0.166472,0.086608,9
"A","1.4_ref",14,"053054",1,47,10,31,23,0.121642,0.097155,7
"A","1.4_ref",14,"055056",1,81,23,35,29,0.147623,0.100954,11
"A","1.4_ref",14,"057058",1,36,23,19,23,0.112352,0.153304,8
"A","1.4_ref",14,"063064",1,46,21,41,10,0.098378,0.164912,7
"A","1.4_ref",14,"065066",1,19,12,15,6,0.170779,0.077797,1
"A","1.4_ref",14,"067068",1,37,13,25,18,0.171922,0.079009,8
"A","1.4_ref",14,"069070",1,49,17,38,13,0.082379,0.139155,13
"A","1.4_ref",14,"075076",1,30,14,14,5,0.207426,0.162645,6
"A","1.4_ref",14,"077078",1,59,12,39,1,0.127988,0.111446,9
"A","1.4_ref",14,"081082",1,27,24,18,14,0.111721,0.091761,3
"A","1.4_ref",14,"099100",1,36,13,22,11,0.132709,0.113013,9
"A","1.4_ref",14,"101102",1,47,10,20,27,0.106019,0,7
"A","1.4_ref",14,"107108",1,79,47,47,31,0.13568,0.131264,10
"A","1.4_ref",14,"109110",1,71,43,49,47,0.165717,0.142345,13
"A","1.4_ref",14,"119120",1,37,27,27,19,0.168351,0.163926,13
"A","1.4_ref",14,"121122",1,42,14,27,29,0.115643,0.115772,7
"A","1.4_ref",14,"123124",1,49,23,18,27,0.098547,0.116527,9
"A","1.4_ref",14,"131132",1,72,23,45,29,0.180232,0.18243,14
"A","1.4_ref",14,"135136",1,23,7,24,6,0.125852,0.048411,3
"A","1.4_ref",14,"141142",1,96,10,38,61,0.14353,0.203085,13
"A","1.4_ref",14,"143144",1,57,53,51,44,0.150828,0.140036,13
"A","1.4_ref",14,"145146",1,44,43,18,33,0.113452,0.15206,21
"A","1.6_ref",16,"003004",1,56,27,29,19,0.140746,0.129744,9
"A","1.6_ref",16,"005006",1,34,3,32,7,0.12538,0,3
"A","1.6_ref",16,"007008",1,149,68,122,49,0.09288,0.088799,21
"A","1.6_ref",16,"009010",1,186,100,134,60,0.160452,0.123637,29
"A","1.6_ref",16,"013014",1,54,19,53,37,0.125979,0.082983,5
"A","1.6_ref",16,"015016",1,82,27,62,28,0.109488,0.19897,6
"A","1.6_ref",16,"017018",1,55,40,39,53,0.137572,0.091965,9
"A","1.6_ref",16,"019020",1,143,42,77,23,0.129903,0.127664,26
"A","1.6_ref",16,"021022",1,50,30,22,17,0.130807,0.136281,7
"A","1.6_ref",16,"025026",1,145,20,85,33,0.215421,0.081063,11
"A","1.6_ref",16,"027028",1,110,30,59,30,0.150018,0.100051,13
"A","1.6_ref",16,"035036",1,112,46,31,37,0.123377,0.172743,17
"A","1.6_ref",16,"037038",1,94,22,59,31,0.139262,0.145645,9
"A","1.6_ref",16,"039040",1,43,12,31,9,0.081091,0.119002,8
"A","1.6_ref",16,"041042",1,146,66,84,60,0.145343,0.111109,19
"A","1.6_ref",16,"043044",1,45,14,26,17,0.136389,0.121025,4
"A","1.6_ref",16,"045046",1,54,9,34,13,0.195416,0.215627,5
"A","1.6_ref",16,"047048",1,41,22,32,12,0.136789,0.143426,11
"A","1.6_ref",16,"049050",1,56,18,40,15,0.128499,0.103301,3
"A","1.6_ref",16,"051052",1,80,16,47,3,0.174061,0.08646,5
"A","1.6_ref",16,"053054",1,67,47,38,25,0.116886,0.062959,15
"A","1.6_ref",16,"055056",1,97,41,32,32,0.162324,0.099143,3
"A","1.6_ref",16,"057058",1,136,49,83,21,0.13431,0.174184,21
"A","1.6_ref",16,"063064",1,86,12,59,6,0.112535,0.081961,5
"A","1.6_ref",16,"065066",1,45,34,38,13,0.161449,0.098035,9
"A","1.6_ref",16,"067068",1,144,107,73,104,0.169107,0.124303,21
"A","1.6_ref",16,"069070",1,47,13,3,19,0.121878,0.218698,7
"A","1.6_ref",16,"075076",1,50,18,23,12,0.152825,0.128548,6
"A","1.6_ref",16,"077078",1,73,22,41,4,0.1292,0.108552,5
"A","1.6_ref",16,"081082",1,38,9,30,30,0.108302,0.081127,1
"A","1.6_ref",16,"099100",1,84,67,62,53,0.125425,0.12269,17
"A","1.6_ref",16,"101102",1,118,36,74,42,0.130755,0.142461,13
"A","1.6_ref",16,"107108",1,62,16,41,37,0.143047,0.134965,8
"A","1.6_ref",16,"109110",1,193,142,125,119,0.173456,0.175434,43
"A","1.6_ref",16,"119120",1,70,37,52,28,0.112579,0.142642,16
"A","1.6_ref",16,"121122",1,86,44,50,26,0.136484,0.206575,24
"A","1.6_ref",16,"123124",1,56,11,37,9,0.097504,0.090403,7
"A","1.6_ref",16,"131132",1,89,69,59,45,0.203119,0.170753,21
"A","1.6_ref",16,"135136",1,60,15,43,9,0.119021,0.073407,3
"A","1.6_ref",16,"141142",1,243,50,105,74,0.104637,0.182649,30
"A","1.6_ref",16,"143144",1,52,32,40,23,0.132271,0.09779,11
"A","1.6_ref",16,"145146",1,52,47,41,22,0.146771,0.147845,17
"A","1.8_ref",8,"003004",1,77,31,38,21,0.144489,0.127555,19
"A","1.8_ref",8,"005006",1,82,35,31,29,0.103086,0.096414,11
"A","1.8_ref",8,"007008",1,68,69,69,52,0.155482,0.087692,21
"A","1.8_ref",8,"009010",1,98,86,73,40,0.110238,0.13443,23
"A","1.8_ref",8,"013014",1,75,12,32,21,0.133443,0.119271,8
"A","1.8_ref",8,"015016",1,60,45,46,48,0.143079,0.189011,12
"A","1.8_ref",8,"017018",1,37,37,35,53,0.132386,0.097973,9
"A","1.8_ref",8,"019020",1,142,43,80,27,0.121929,0.145591,14
"A","1.8_ref",8,"021022",1,38,21,10,16,0.103545,0.124719,5
"A","1.8_ref",8,"025026",1,68,29,74,30,0.120332,0.096403,6
"A","1.8_ref",8,"027028",1,156,54,86,50,0.160976,0.149716,21
"A","1.8_ref",8,"035036",1,140,18,16,62,0.150849,0.173951,9
"A","1.8_ref",8,"037038",1,57,17,34,30,0.122799,0.152166,9
"A","1.8_ref",8,"039040",1,69,46,49,29,0.115449,0.144705,9
"A","1.8_ref",8,"041042",1,66,6,32,50,0.12203,0.059902,5
"A","1.8_ref",8,"043044",1,103,13,53,16,0.133464,0.181296,9
"A","1.8_ref",8,"045046",1,39,4,24,16,0.186837,0.094966,1
"A","1.8_ref",8,"047048",1,59,30,32,9,0.149613,0,15
"A","1.8_ref",8,"049050",1,55,5,34,14,0.114522,0.056029,1
"A","1.8_ref",8,"051052",1,57,21,40,9,0.111557,0.05831,9
"A","1.8_ref",8,"053054",1,65,6,27,5,0.091553,0.076205,3
"A","1.8_ref",8,"055056",1,204,96,82,54,0.148047,0.196898,43
"A","1.8_ref",8,"057058",1,66,22,27,29,0.138687,0.149712,14
"A","1.8_ref",8,"063064",1,73,7,45,25,0.099183,0.094439,5
"A","1.8_ref",8,"065066",1,50,37,43,21,0.13453,0.103374,11
"A","1.8_ref",8,"067068",1,48,20,35,27,0.183243,0.131459,10
"A","1.8_ref",8,"069070",1,40,14,9,9,0.091845,0.116722,6
"A","1.8_ref",8,"075076",1,71,41,22,21,0.170984,0.169273,9
"A","1.8_ref",8,"077078",1,173,64,90,45,0.136194,0.127586,15
"A","1.8_ref",8,"081082",1,84,35,70,29,0.132978,0.080928,17
"A","1.8_ref",8,"099100",1,51,27,43,26,0.089886,0.07241,9
"A","1.8_ref",8,"101102",1,52,7,30,15,0.156547,0,8
"A","1.8_ref",8,"107108",1,73,35,40,30,0.142761,0.241715,13
"A","1.8_ref",8,"109110",1,44,34,39,50,0.137219,0.118139,15
"A","1.8_ref",8,"119120",1,50,16,30,14,0.126719,0.141111,7
"A","1.8_ref",8,"121122",1,74,17,47,17,0.149115,0.441988,7
"A","1.8_ref",8,"123124",1,58,13,30,12,0.098777,0.101901,5
"A","1.8_ref",8,"131132",1,73,19,48,17,0.223477,0.188397,20
"A","1.8_ref",8,"135136",1,22,26,30,14,0.136706,0.079577,7
"A","1.8_ref",8,"141142",1,123,19,62,75,0.132112,0.162309,23
"A","1.8_ref",8,"143144",1,61,47,65,45,0.138357,0.147659,15
"A","1.8_ref",8,"145146",1,43,16,25,8,0.245088,0.114448,7
"A","2.10_ref",13,"003004",2,22,9,11,7,0.147125,0.102672,5
"A","2.10_ref",13,"005006",2,20,5,13,9,0.033988,0.051198,5
"A","2.10_ref",13,"007008",2,14,3,18,7,0,0,1
"A","2.10_ref",13,"009010",2,4,5,8,3,0.085175,0,1
"A","2.10_ref",13,"013014",2,34,9,31,7,0.116947,0.185723,3
"A","2.10_ref",13,"015016",2,19,4,17,9,0,0.162806,1
"A","2.10_ref",13,"017018",2,13,12,11,11,0.094621,0.066593,1
"A","2.10_ref",13,"019020",2,35,11,23,24,0.090723,0.042016,4
"A","2.10_ref",13,"021022",2,25,26,20,11,0.107197,0.102911,7
"A","2.10_ref",13,"025026",2,30,5,25,13,0.142257,0.11719,3
"A","2.10_ref",13,"027028",2,10,5,3,7,0.09006,0.201483,1
"A","2.10_ref",13,"035036",2,6,4,8,6,0.115031,0.055808,3
"A","2.10_ref",13,"037038",2,20,5,13,4,0.048226,0,3
"A","2.10_ref",13,"039040",2,16,5,16,18,0.119122,0.041066,3
"A","2.10_ref",13,"041042",2,23,5,17,12,0.058387,0.193015,3
"A","2.10_ref",13,"043044",2,33,9,20,13,0.103489,0.098093,5
"A","2.10_ref",13,"045046",2,22,6,18,6,0.113892,0.089389,5
"A","2.10_ref",13,"047048",2,36,26,30,13,0.231979,0.120448,7
"A","2.10_ref",13,"049050",2,32,6,29,9,0.138211,0.0706,3
"A","2.10_ref",13,"051052",2,20,6,15,3,0.16013,0.140413,3
"A","2.10_ref",13,"053054",2,59,15,48,7,0.176946,0.074706,9
"A","2.10_ref",13,"055056",2,36,13,28,19,0.170282,0.060653,6
"A","2.10_ref",13,"057058",2,24,11,17,12,0.15873,0.201313,6
"A","2.10_ref",13,"063064",2,25,6,16,9,0.048209,0.072143,1
"A","2.10_ref",13,"065066",2,28,18,17,10,0.096613,0.09982,5
"A","2.10_ref",13,"067068",2,24,2,13,13,0.135424,0.087222,4
"A","2.10_ref",13,"069070",2,19,7,8,5,0.096984,0.18101,6
"A","2.10_ref",13,"075076",2,26,6,3,5,0.114414,0.092744,3
"A","2.10_ref",13,"077078",2,23,7,16,8,0.083198,0.08007,9
"A","2.10_ref",13,"081082",2,12,9,11,14,0,0.085794,1
"A","2.10_ref",13,"099100",2,12,8,11,9,0.044116,0.09031,1
