"director","trial","target","pair","round","peaks1","peaks2","gesture1","gesture2","range1","range2","transitions"
"A","1.10_ref",10,"003004",1,63,16,33,14,0.000498,0.044302,6
"A","1.10_ref",10,"005006",1,41,12,18,15,0.060422,0.082198,5
"A","1.10_ref",10,"007008",1,44,35,41,20,0.090356,0.121462,7
"A","1.10_ref",10,"009010",1,53,67,31,28,0.166282,0.189149,9
"A","1.10_ref",10,"013014",1,98,10,73,16,0.155517,0.122563,13
"A","1.10_ref",10,"015016",1,42,18,36,21,0.209929,0.138829,7
"A","1.10_ref",10,"017018",1,37,10,24,31,0.147627,0.066287,1
"A","1.10_ref",10,"019020",1,75,28,45,28,0.124233,0.144859,18
"A","1.10_ref",10,"021022",1,60,42,43,31,0.104576,0.123374,5
"A","1.10_ref",10,"025026",1,97,50,65,30,0.117521,0.098441,11
"A","1.10_ref",10,"027028",1,29,5,16,1,0.135184,0.136986,3
"A","1.10_ref",10,"035036",1,33,19,7,10,0.101671,0.102894,3
"A","1.10_ref",10,"037038",1,95,18,73,61,0.09975,0.152852,14
"A","1.10_ref",10,"039040",1,53,16,38,25,0.100105,0.232248,4
"A","1.10_ref",10,"041042",1,49,9,36,9,0.116616,0.152811,7
"A","1.10_ref",10,"043044",1,67,35,38,23,0.185533,0.14751,8
"A","1.10_ref",10,"045046",1,50,5,23,22,0.126641,0.047281,3
"A","1.10_ref",10,"047048",1,32,13,28,30,0.081416,0.201075,5
"A","1.10_ref",10,"049050",1,65,19,52,33,0.107734,0.114615,7
"A","1.10_ref",10,"051052",1,104,53,63,16,0.131068,0.076448,11
"A","1.10_ref",10,"053054",1,57,9,22,11,0.203719,0.047122,7
"A","1.10_ref",10,"055056",1,158,72,101,41,0.165033,0.124502,21
"A","1.10_ref",10,"057058",1,60,38,34,17,0.165268,0.182588,8
"A","1.10_ref",10,"063064",1,70,8,45,14,0.074206,0.063351,3
"A","1.10_ref",10,"065066",1,96,54,86,49,0.228327,0.079396,23
"A","1.10_ref",10,"067068",1,62,17,42,3,0.133099,0.153832,6
"A","1.10_ref",10,"069070",1,41,7,6,6,0.100966,0.163141,3
"A","1.10_ref",10,"075076",1,31,22,2,11,0.184318,0.186642,6
"A","1.10_ref",10,"077078",1,65,3,28,4,0.14605,0.173853,3
"A","1.10_ref",10,"081082",1,65,43,46,31,0.111508,0.126352,11
"A","1.10_ref",10,"099100",1,44,10,28,27,0.081707,0.117438,3
"A","1.10_ref",10,"101102",1,61,13,33,15,0.106412,0.117022,7
"A","1.10_ref",10,"107108",1,56,43,39,43,0.131117,0.188514,13
"A","1.10_ref",10,"109110",1,44,70,41,42,0.143308,0.197629,15
"A","1.10_ref",10,"119120",1,46,18,32,20,0.116035,0.184313,7
"A","1.10_ref",10,"121122",1,36,15,20,9,0.098056,0.149958,5
"A","1.10_ref",10,"123124",1,86,62,72,50,0.096811,0.112585,19
"A","1.10_ref",10,"131132",1,76,50,43,40,0.192,0.214247,17
"A","1.10_ref",10,"135136",1,45,6,32,25,0.119314,0.046833,1
"A","1.10_ref",10,"141142",1,346,123,187,263,0.102199,0.164291,61
"A","1.10_ref",10,"143144",1,212,130,147,127,0.148577,0.136572,47
"A","1.10_ref",10,"145146",1,44,23,14,22,0.141882,0.19838,7
"A","1.12_ref",4,"003004",1,68,20,33,14,0.092185,0.129581,13
"A","1.12_ref",4,"005006",1,22,25,25,8,0.090943,0.089883,7
"A","1.12_ref",4,"007008",1,50,16,36,30,0.203389,0.128451,7
"A","1.12_ref",4,"009010",1,35,46,31,33,0.120101,0.090644,7
"A","1.12_ref",4,"013014",1,34,18,41,9,0.151353,0.186479,7
"A","1.12_ref",4,"015016",1,37,21,44,22,0.088801,0.123786,9
"A","1.12_ref",4,"017018",1,45,15,26,42,0.150335,0.045516,7
"A","1.12_ref",4,"019020",1,109,38,64,60,0.153713,0.157218,18
"A","1.12_ref",4,"021022",1,60,50,29,36,0.266757,0.172634,13
"A","1.12_ref",4,"025026",1,211,157,181,89,0.156104,0.261207,32
"A","1.12_ref",4,"027028",1,58,18,28,14,0.125209,0.128795,13
"A","1.12_ref",4,"035036",1,26,14,6,14,0.139602,0.159222,5
"A","1.12_ref",4,"037038",1,56,11,42,16,0.171544,0,5
"A","1.12_ref",4,"039040",1,50,29,42,49,0.238574,0.131564,5
"A","1.12_ref",4,"041042",1,79,35,48,10,0.138553,0.172836,11
"A","1.12_ref",4,"043044",1,82,7,43,10,0.125041,0.022892,5
"A","1.12_ref",4,"045046",1,73,19,40,20,0.211487,0.096609,17
"A","1.12_ref",4,"047048",1,29,46,38,18,0.152083,0.103951,17
"A","1.12_ref",4,"049050",1,37,12,30,16,0.130153,0.146045,5
"A","1.12_ref",4,"051052",1,66,10,31,4,0.188034,0.135979,1
"A","1.12_ref",4,"053054",1,56,5,33,7,0.108625,0.02875,3
"A","1.12_ref",4,"055056",1,66,30,22,20,0.162707,0.097035,11
"A","1.12_ref",4,"057058",1,56,27,38,6,0.160926,0.202205,6
"A","1.12_ref",4,"063064",1,38,26,32,9,0.120395,0.217909,7
"A","1.12_ref",4,"065066",1,76,27,58,21,0.205031,0.158447,13
"A","1.12_ref",4,"067068",1,55,39,38,4,0.18801,0.130355,13
"A","1.12_ref",4,"069070",1,31,6,2,15,0.111902,0.237308,7
"A","1.12_ref",4,"075076",1,69,67,1,12,0.151754,0.181383,16
"A","1.12_ref",4,"077078",1,54,9,29,6,0.15037,0.116062,7
"A","1.12_ref",4,"081082",1,41,21,45,14,0.163918,0.055729,3
"A","1.12_ref",4,"099100",1,32,31,35,7,0.086715,0.095397,9
"A","1.12_ref",4,"101102",1,57,9,26,18,0.12785,0.069475,7
"A","1.12_ref",4,"107108",1,60,21,41,40,0.120303,0.155759,9
"A","1.12_ref",4,"109110",1,46,36,25,41,0.158021,0.161092,13
"A","1.12_ref",4,"119120",1,38,16,21,9,0.123025,0.220185,8
"A","1.12_ref",4,"121122",1,49,16,29,11,0.131697,0.119211,13
"A","1.12_ref",4,"123124",1,73,28,49,62,0.16136,0.094786,12
"A","1.12_ref",4,"131132",1,88,58,64,50,0.201816,0.222474,21
"A","1.12_ref",4,"135136",1,36,12,31,16,0.1414,0.08091,1
"A","1.12_ref",4,"141142",1,73,9,40,36,0.125274,0.135084,12
"A","1.12_ref",4,"143144",1,123,101,107,63,0.137901,0.163872,35
"A","1.12_ref",4,"145146",1,90,52,46,32,0.132838,0.130533,17
"A","1.14_ref",2,"003004",1,41,21,15,22,0.131158,0.11688,9
"A","1.14_ref",2,"005006",1,55,6,16,11,0.314877,0.049268,8
"A","1.14_ref",2,"007008",1,29,22,40,22,0.051234,0.072934,7
"A","1.14_ref",2,"009010",1,50,8,35,10,0.181454,0.04957,5
"A","1.14_ref",2,"013014",1,18,15,26,5,0.320822,0.145879,10
"A","1.14_ref",2,"015016",1,31,5,21,7,0.077657,0.115547,5
"A","1.14_ref",2,"017018",1,56,26,45,50,0.144688,0.085826,11
"A","1.14_ref",2,"019020",1,36,10,25,3,0.182167,0.099661,6
"A","1.14_ref",2,"021022",1,39,13,15,24,0.108163,0,5
"A","1.14_ref",2,"025026",1,28,8,24,9,0.172884,0.070873,5
"A","1.14_ref",2,"027028",1,45,22,29,25,0.125104,0.120064,3
"A","1.14_ref",2,"035036",1,36,18,16,17,0.115484,0.185,7
"A","1.14_ref",2,"037038",1,43,17,28,8,0.100042,0.133146,7
